Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,5601.5896898682195,0.0,0.0,21128.77881353176,0.0,1.2995373036615006e6,943572.2674835074,2.120330689186511e6,0.0,1.4804612896684818e6,0.0,0.0,0.0,5.870631918503401e6
t1,0.0,0.0,0.0,0.0,0.0,0.0,135.56640856941843,74.14859143058165,118.65424999999995,0.0,227.73074999999997,0.0,0.0,0.0,556.1
t2,0.0,0.0,0.0,0.0,0.0,0.0,135.56640856941843,74.14859143058165,118.65424999999995,0.0,204.38074999999998,0.0,0.0,0.0,532.75
t3,0.0,0.0,0.0,0.0,0.0,0.0,135.56640856941843,74.14859143058165,118.65424999999995,0.0,193.68075000000005,0.0,0.0,0.0,522.0500000000001
t4,0.0,0.0,0.0,0.0,0.0,0.0,135.56640856941843,74.14859143058165,143.53499999999994,0.0,165.0,0.0,0.0,0.0,518.25
t5,0.0,0.0,0.0,0.0,0.0,0.0,135.56640856941843,74.14859143058165,118.65424999999995,0.0,203.58075,0.0,0.0,0.0,531.95
t6,0.0,0.0,0.0,0.0,0.0,0.0,135.56640856941843,74.14859143058165,204.13499999999993,0.0,165.0,0.0,0.0,0.0,578.85
t7,0.0,0.0,0.0,0.0,0.0,0.0,135.56640856941843,134.8156207828757,215.7349999999999,0.0,181.332970647706,0.0,0.0,0.0,667.45
t8,0.0,0.0,0.0,0.0,0.0,0.0,246.4843792171244,74.14859143058165,215.7349999999999,0.0,191.13202935229407,0.0,0.0,0.0,727.5
t9,0.0,0.0,0.0,0.0,0.0,0.0,246.4843792171244,118.88062078287574,215.7349999999999,0.0,165.0,0.0,0.0,0.0,746.1
t10,0.0,0.0,0.0,0.0,0.0,0.0,246.4843792171244,131.03062078287567,215.7349999999999,0.0,165.0,0.0,0.0,0.0,758.25
t11,0.0,0.0,0.0,0.0,0.0,0.0,246.4843792171244,134.8156207828757,215.7349999999999,0.0,169.36499999999995,0.0,0.0,0.0,766.3999999999999
