Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,7593.089925800783,0.0,0.0,28899.910074199197,0.0,2.5990746073230006e7,1.8871445349670142e7,4.240661378373023e7,0.0,2.960922579336962e7,0.0,0.0,0.0,1.16914524e8
t1,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,1482.9718286116329,2373.0849999999987,0.0,4554.615,0.0,0.0,0.0,11122.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,1482.9718286116329,2373.0849999999987,0.0,4087.615,0.0,0.0,0.0,10655.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,1482.9718286116329,2373.0849999999987,0.0,3873.6150000000007,0.0,0.0,0.0,10441.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,1482.9718286116329,2870.6999999999985,0.0,3300.0000000000005,0.0,0.0,0.0,10365.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,1482.9718286116329,2373.0849999999987,0.0,4071.6149999999993,0.0,0.0,0.0,10639.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,1482.9718286116329,4082.699999999998,0.0,3300.0000000000005,0.0,0.0,0.0,11577.0
t7,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,2696.312415657514,4314.699999999997,0.0,3626.65941295412,0.0,0.0,0.0,13349.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,1482.9718286116329,4314.699999999997,0.0,3822.640587045881,0.0,0.0,0.0,14550.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2377.6124156575147,4314.699999999997,0.0,3300.0000000000005,0.0,0.0,0.0,14922.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2620.6124156575133,4314.699999999997,0.0,3300.0000000000005,0.0,0.0,0.0,15164.999999999998
t11,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2696.312415657514,4314.699999999997,0.0,3387.299999999999,0.0,0.0,0.0,15327.999999999998
t12,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2696.312415657514,4314.699999999997,0.0,3439.300000000002,0.0,0.0,0.0,15380.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2696.312415657514,4314.699999999997,0.0,3334.3000000000015,0.0,0.0,0.0,15275.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2609.612415657514,4314.699999999997,0.0,3300.0000000000005,0.0,0.0,0.0,15153.999999999998
t15,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2408.6124156575133,4314.699999999997,0.0,3300.0000000000005,0.0,0.0,0.0,14952.999999999998
t16,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2340.612415657514,4314.699999999997,0.0,3300.0000000000005,0.0,0.0,0.0,14884.999999999998
t17,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2696.312415657514,4314.699999999997,0.0,3399.2999999999993,0.0,0.0,0.0,15339.999999999998
t18,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2696.312415657514,4314.699999999997,0.0,4062.2999999999997,0.0,0.0,0.0,16002.999999999998
t19,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2696.312415657514,4314.699999999997,0.0,3826.299999999999,0.0,0.0,0.0,15766.999999999998
t20,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2691.6124156575147,4314.699999999997,0.0,3300.0000000000005,0.0,0.0,0.0,15236.0
t21,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,1482.9718286116329,4314.699999999997,0.0,3935.6405870458807,0.0,0.0,0.0,14662.999999999998
t22,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,2696.312415657514,4314.699999999997,0.0,4166.659412954119,0.0,0.0,0.0,13888.999999999998
t23,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,2696.312415657514,4147.359412954117,0.0,3300.0000000000005,0.0,0.0,0.0,12855.0
t24,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,1482.9718286116329,4314.699999999997,0.0,3300.0000000000005,0.0,0.0,0.0,11808.999999999998
t25,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,1482.9718286116329,5222.340587045879,0.0,3300.0000000000005,0.0,0.0,0.0,14935.0
t26,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,1482.9718286116329,4349.340587045878,0.0,3300.0000000000005,0.0,0.0,0.0,14062.0
t27,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,2696.312415657514,4790.359412954116,0.0,3300.0000000000005,0.0,0.0,0.0,13497.999999999998
t28,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,2696.312415657514,4438.359412954117,0.0,3300.0000000000005,0.0,0.0,0.0,13146.0
t29,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,2696.312415657514,4470.359412954117,0.0,3300.0000000000005,0.0,0.0,0.0,13178.0
t30,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,2696.312415657514,5004.359412954116,0.0,3300.0000000000005,0.0,0.0,0.0,13711.999999999998
t31,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,1482.9718286116329,5479.340587045879,0.0,3300.0000000000005,0.0,0.0,0.0,15192.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,3487.999999999999,0.0,0.0,0.0,17114.0
t33,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,5029.999999999997,0.0,0.0,0.0,18656.0
t34,0.0,0.0,0.0,0.0,393.9999999999979,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,20020.0
t35,0.0,0.0,0.0,0.0,1574.9999999999989,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,21201.0
t36,0.0,0.0,0.0,0.0,2382.9999999999986,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,22009.0
t37,0.0,0.0,0.0,0.0,2940.9999999999986,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,22567.0
t38,0.0,588.6718286116319,0.0,0.0,2855.328171388366,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,23070.0
t39,0.0,688.3124156575149,0.0,0.0,3073.6875843424855,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,23388.0
t40,0.0,929.3124156575145,0.0,0.0,3073.6875843424855,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,23629.0
t41,0.0,1070.3124156575122,0.0,0.0,3073.6875843424855,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,23770.0
t42,0.0,1070.3124156575125,0.0,0.0,2878.6875843424846,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,23575.0
t43,0.0,1070.3124156575125,0.0,0.0,2337.687584342484,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,23034.0
t44,0.0,1070.3124156575125,0.0,0.0,1628.6875843424843,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,22325.0
t45,0.0,895.2717746324399,0.0,0.0,1399.7282253675585,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,21921.0
t46,0.0,210.27182861163186,0.0,0.0,1285.7281713883663,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,6000.0,0.0,0.0,0.0,21122.0
t47,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,5684.999999999997,0.0,0.0,0.0,19311.0
t48,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,2696.312415657514,6000.0,0.0,3887.9999999999977,0.0,0.0,0.0,17514.0
t49,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,2696.312415657514,4331.359412954116,0.0,3300.0000000000005,0.0,0.0,0.0,13038.999999999998
t50,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,1482.9718286116329,4765.699999999998,0.0,3300.0000000000005,0.0,0.0,0.0,12260.0
t51,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,1482.9718286116329,4293.699999999999,0.0,3300.0000000000005,0.0,0.0,0.0,11788.0
t52,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,1482.9718286116329,3300.0000000000005,0.0,4085.6999999999985,0.0,0.0,0.0,11580.0
t53,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,1482.9718286116329,4182.699999999998,0.0,3300.0000000000005,0.0,0.0,0.0,11677.0
t54,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,1482.9718286116329,4889.699999999999,0.0,3300.0000000000005,0.0,0.0,0.0,12384.0
t55,0.0,0.0,0.0,0.0,0.0,0.0,2711.3281713883684,2696.312415657514,4878.359412954117,0.0,3300.0000000000005,0.0,0.0,0.0,13586.0
t56,0.0,0.0,0.0,0.0,0.0,0.0,4929.687584342488,1482.9718286116329,5185.340587045878,0.0,3300.0000000000005,0.0,0.0,0.0,14898.0
