,Network_zones,Network_Lines,Start_Zone,End_Zone,Asymmetrical,Line_Max_Flow_MW,Line_Max_Flow_MW_Neg,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Loss_Percentage_Neg,Line_Max_Reinforcement_MW,Line_Max_Reinforcement_MW_Neg,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1
MA,z1,1,1,2,1,0,2950,MA_to_MA_InState,123.0584,0.012305837,0.012305837,0,2950,12060,0.95,0,0
MA_InState,z2,2,1,3,0,2500,2500,MA_to_ME,196.5385,0.019653847,0.019653847,2500,2500,19261,0.95,0,0
ME,z3,3,1,3,1,1000,800,MA_to_ME,196.5385,0.019653847,0.19653847,1926,963,19200,0.95,0,0
