Period_Index,Rep_Period,Rep_Period_Index
1,4,1
2,64,6
3,151,11
4,50,4
5,50,4
6,58,5
7,50,4
8,4,1
9,4,1
10,4,1
11,4,1
12,4,1
13,64,6
14,58,5
15,58,5
16,58,5
17,58,5
18,64,6
19,64,6
20,64,6
21,64,6
22,67,7
23,67,7
24,64,6
25,67,7
26,67,7
27,75,8
28,128,10
29,29,3
30,128,10
31,75,8
32,128,10
33,75,8
34,128,10
35,86,9
36,64,6
37,86,9
38,28,2
39,28,2
40,28,2
41,86,9
42,86,9
43,28,2
44,28,2
45,86,9
46,86,9
47,67,7
48,86,9
49,128,10
50,128,10
51,128,10
52,75,8
