Zone,1,2,3,Total
CO2_Price_1,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,-55.878152303345345,0.0
AnnualSum,8001.956755414941,4982.229397049796,3731.4145956867947,16715.60074815153
t1,3.180890762632492,0.9452235744,1.2731079648319947,5.399222301864487
t2,3.05266913296647,0.9142450240000001,1.2731079648319947,5.240022121798464
t3,2.9905333335582536,0.8991335360000001,1.2731079648319947,5.162774834390248
t4,2.963392446154967,0.8930889408000001,1.2731079648319947,5.1295893517869615
t5,2.988167918758254,0.8987557488000001,1.2731079648319947,5.160031632390249
t6,3.0892563338705776,0.9233119168,1.2731079648319947,5.285676215502573
t7,3.269386650693584,0.9667574448000001,1.2731079648319947,5.509252060325579
t8,3.466044179718233,1.0139808448,1.2731079648319947,5.753132989350227
t9,3.726422124200688,1.07669352,1.2731079648319947,6.076223609032683
t10,3.8868943609708175,1.1156056016000002,1.2731079648319947,6.275607927402813
t11,3.9502205406286235,1.1310948768,1.2731079648319947,6.354423382260618
t12,3.9490455060782126,1.1307170896000003,1.2731079648319947,6.352870560510208
t13,3.921116147074926,1.12391692,1.2731079648319947,6.3181410319069204
t14,3.885719326420407,1.1156056016000002,1.2731079648319947,6.274432892852403
t15,3.871951764818764,1.1122055168000002,1.2731079648319947,6.257265246450759
t16,3.8802076980699964,1.1140944528000003,1.2731079648319947,6.267410115701992
t17,4.095742508397111,1.1658512992,1.2731079648319947,6.534701772429106
t18,4.416694654786959,1.2436754624000002,1.2731079648319947,6.933478082018954
t19,4.418658160937371,1.2440532496,1.2731079648319947,6.935819375369366
t20,4.3246506445258674,1.2213860176,1.2731079648319947,6.819144626957863
t21,4.13900869935245,1.176807128,1.2731079648319947,6.5889237921844455
t22,3.8334087306138334,1.103138624,1.2731079648319947,6.209655319445828
t23,3.4920100325711085,1.0204032272,1.2731079648319947,5.785521224603103
t24,3.145888177777973,0.9365344688000001,1.2731079648319947,5.355530611409968
t25,2.8969200529467507,0.8768440912000001,1.2731079648319947,5.046872108978746
t26,2.7698811306807287,0.8458655408000001,1.2731079648319947,4.888854636312724
t27,2.718745569424567,0.8337763504000001,1.2731079648319947,4.8256298846565615
t28,2.721497547174977,0.8345319248,1.2731079648319947,4.829137436806972
t29,2.8284841535881236,0.8602214544000001,1.2731079648319947,4.961813572820118
t30,3.154940255478795,0.9388011920000001,1.2731079648319947,5.36684941231079
t31,3.7496283264535633,1.0823603280000003,1.2731079648319947,6.105096619285558
t32,4.083165327045055,1.1632067888000002,1.2731079648319947,6.5194800806770505
t33,4.1555282387045045,1.1809627872000001,1.2731079648319947,6.609598990736499
t34,4.196042451909434,1.1904074672000002,1.2731079648319947,6.659557883941428
t35,4.234585486114364,1.1998521472,1.2731079648319947,6.707545598146359
t36,4.227504587413542,1.1975854240000001,1.2731079648319947,6.698197976245538
t37,4.17952291255738,1.1862518080000002,1.2731079648319947,6.638882685389376
t38,4.146089598053272,1.1783182768000002,1.2731079648319947,6.597515839685267
t39,4.0933847664466985,1.165473512,1.2731079648319947,6.531966243278694
t40,4.095742508397111,1.1658512992,1.2731079648319947,6.534701772429106
t41,4.315613912524224,1.2191192944000002,1.2731079648319947,6.80784117175622
t42,4.636944949014896,1.2965656704000001,1.2731079648319947,7.2066185842468915
t43,4.592109487709144,1.2859876288000003,1.2731079648319947,7.151205081341139
t44,4.4233736448381915,1.2451866112000003,1.2731079648319947,6.941668220870186
t45,4.179917148357381,1.1862518080000002,1.2731079648319947,6.639276921189376
t46,3.822393146762601,1.1001163264000002,1.2731079648319947,6.195617437994596
t47,3.374015515156319,0.9916914000000001,1.2731079648319947,5.638814879988313
t48,2.968107930055789,0.8938445152000002,1.2731079648319947,5.1350604100877835
t49,2.7093146016229235,0.8315096272000001,1.2731079648319947,4.813932193654918
t50,2.5456961513023826,0.7922197584,1.2731079648319947,4.611023874534377
t51,2.4658504322925228,0.7725748240000001,1.2731079648319947,4.511533221124518
t52,2.4453962077900577,0.7676635904000001,1.2731079648319947,4.486167763022053
t53,2.5362498378015608,0.7895752480000001,1.2731079648319947,4.598933050633556
t54,2.837922794239356,0.8624881776000001,1.2731079648319947,4.973518936671351
t55,3.438122493564536,1.0071806752,1.2731079648319947,5.718411133596531
t56,3.769294079356028,1.0872715616,1.2731079648319947,6.129673605788023
t57,3.8027273938601365,1.0955828800000003,1.2731079648319947,6.171418238692132
t58,3.783850112557672,1.0910494336,1.2731079648319947,6.148007510989666
t59,3.7893540680584934,1.0921827952,1.2731079648319947,6.154644828090488
t60,3.770476786756028,1.0876493488,1.2731079648319947,6.131234100388022
t61,3.718560426749455,1.0751823712,1.2731079648319947,6.066850762781449
t62,3.684732876445347,1.0672488400000002,1.2731079648319947,6.025089681277342
t63,3.637145437389185,1.0555374368000001,1.2731079648319947,5.96579083902118
t64,3.6410724496900064,1.0562930112000002,1.2731079648319947,5.970473425722002
t65,3.860147709367531,1.1091832192000002,1.2731079648319947,6.242438893399527
t66,4.262901408068061,1.2066523168,1.2731079648319947,6.742661689700057
t67,4.2672303290184725,1.2074078912000001,1.2731079648319947,6.747746185050467
t68,4.148060777053272,1.1786960640000002,1.2731079648319947,6.599864805885266
t69,3.9545494615790333,1.1322282384000002,1.2731079648319947,6.359885664811028
t70,3.633999223838774,1.0547818624,1.2731079648319947,5.961889051070768
t71,3.233989830039065,0.9580683392000001,1.2731079648319947,5.46516613407106
t72,2.8591654903418213,0.8677771984000001,1.2731079648319947,5.000050653573816
t73,2.6184532987618314,0.8095979696000001,1.2731079648319947,4.701159233193826
t74,2.497312567796631,0.780130568,1.2731079648319947,4.550551100628626
t75,2.443038465839647,0.7672858032000002,1.2731079648319947,4.483432233871642
t76,2.4457904435900577,0.7680413776000001,1.2731079648319947,4.486939786022052
t77,2.548053893252793,0.7925975456000001,1.2731079648319947,4.613759403684788
t78,2.879225479044286,0.8723106448000001,1.2731079648319947,5.024644088676281
t79,3.506558392923163,1.023803312,1.2731079648319947,5.803469669755158
t80,3.8566072600171206,1.1084276448000001,1.2731079648319947,6.238142869649115
t81,3.885325090620407,1.1152278144,1.2731079648319947,6.273660869852401
t82,3.9116698335741042,1.1216501968000003,1.2731079648319947,6.3064279952061
t83,3.932518293876569,1.1265614304,1.2731079648319947,6.332187689108563
t84,3.920327675474926,1.12391692,1.2731079648319947,6.3173525603069205
t85,3.873915270969175,1.1125833040000002,1.2731079648319947,6.259606539801171
t86,3.848745562565888,1.1065387088000003,1.2731079648319947,6.228392236197884
t87,3.7964272939097254,1.0936939440000002,1.2731079648319947,6.16322920274172
t88,3.788959832258493,1.0921827952,1.2731079648319947,6.154250592290488
t89,3.992698259983964,1.1412951312000001,1.2731079648319947,6.407101356015959
t90,4.437535442239835,1.2489644832000002,1.2731079648319947,6.95960789027183
t91,4.467428307393532,1.25614244,1.2731079648319947,6.996678712225528
t92,4.349039554178742,1.2274306128,1.2731079648319947,6.849578131810738
t93,4.162609137405326,1.182473936,1.2731079648319947,6.61819103823732
t94,3.828685573863423,1.1016274752000002,1.2731079648319947,6.203421013895419
t95,3.3960390100091953,0.9969804208000002,1.2731079648319947,5.66612739564119
t96,3.012556828411129,0.9044225568,1.2731079648319947,5.1900873500431235
t97,2.7624059961799072,0.8443543920000001,1.2731079648319947,4.8798683530119025
t98,2.6345786023138853,0.8133758416000001,1.2731079648319947,4.72106240874588
t99,2.5743986362064906,0.7986421408000001,1.2731079648319947,4.646148741838486
t100,2.5716466584560798,0.7982643536,1.2731079648319947,4.643018976888074
t101,2.6758812871188153,0.8235760960000001,1.2731079648319947,4.77256534795081
t102,2.9936795471086644,0.9002668976000001,1.2731079648319947,5.167054409540659
t103,3.6170777758371306,1.050248416,1.2731079648319947,5.940434156669125
t104,3.949826304828623,1.1310948768,1.2731079648319947,6.3540291464606184
t105,3.972244035481499,1.1363838976000002,1.2731079648319947,6.381735897913494
t106,3.9580822380798555,1.1329838128,1.2731079648319947,6.36417401571185
t107,3.9462858554782123,1.1299615152000002,1.2731079648319947,6.349355335510207
t108,3.915217955774104,1.1227835584,1.2731079648319947,6.311109479006099
t109,3.8782441919195847,1.1137166656000002,1.2731079648319947,6.26506882235158
t110,3.874703742569175,1.1125833040000002,1.2731079648319947,6.260395011401171
t111,3.8617246525675304,1.1095610064000003,1.2731079648319947,6.244393623799526
t112,3.89712147322205,1.1182501120000001,1.2731079648319947,6.288479550054046
t113,4.122489160000397,1.1726514688000003,1.2731079648319947,6.568248593632392
t114,4.476472712244765,1.2580313760000001,1.2731079648319947,7.007612053076759
t115,4.46271282349271,1.2546312912000002,1.2731079648319947,6.9904520795247045
t116,4.342747127077922,1.225919464,1.2731079648319947,6.841774555909916
t117,4.141760677102861,1.1771849152000002,1.2731079648319947,6.592053557134857
t118,3.8196411690121908,1.099360752,1.2731079648319947,6.192109885844186
t119,3.3964332458091953,0.9973582080000001,1.2731079648319947,5.66689941864119
t120,3.0176665481119507,0.9059337056000001,1.2731079648319947,5.196708218543945
t121,2.7608367258294964,0.8439766048000001,1.2731079648319947,4.877921295461491
t122,2.6141320506610097,0.8084646080000001,1.2731079648319947,4.695704623493004
t123,2.546871185852793,0.7922197584,1.2731079648319947,4.612198909084787
t124,2.5228765119999177,0.7865529504000001,1.2731079648319947,4.582537427231912
t125,2.6090146581105986,0.8073312464000001,1.2731079648319947,4.689453869342593
t126,2.9040009516475727,0.8783552400000001,1.2731079648319947,5.055464156479568
t127,3.4609344600174112,1.0128474832,1.2731079648319947,5.746889908049406
t128,3.8385184503146554,1.1038941984000001,1.2731079648319947,6.21552061354665
t129,3.9553302603294447,1.1322282384000002,1.2731079648319947,6.36066646356144
t130,4.031635529988893,1.1507398112,1.2731079648319947,6.455483306020888
t131,4.082771091245056,1.1632067888000002,1.2731079648319947,6.519085844877051
t132,4.09929063059711,1.1669846608,1.2731079648319947,6.5393832562291045
t133,4.066251551893002,1.1590511296000001,1.2731079648319947,6.498410646324997
t134,4.028095080638483,1.1499842368000002,1.2731079648319947,6.451187282270478
