Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,2.47747731446999e10,8.376496961423385e8,0.0
cVar,2.313026526271458e10,3.070968490370175e6,0.0
cNSE,0.0,5.4255678467637055e7,2.3146633078209386e9
cStart,0.0,0.0,0.0
cUnmetRsv,0.0,0.0,0.0
cNetworkExp,4.79407334017577e8,0.0,0.0
