 ,Network_zones,ESR_1
AUSTIN_55_1,z1,0.1
z_8,z2,0.1
CEDAR_PARK_25_2,z3,0.1
AUSTIN_56_1,z4,0.1
z_7,z5,0.1
AUSTIN_57_1,z6,0.1
z_4,z7,0.1
AUSTIN_58_1,z8,0.1
AUSTIN_59_1,z9,0.1
AUSTIN_60_1,z10,0.1
z_3,z11,0.1
z_2,z12,0.1
DEL_VALLE_1_1,z13,0.1
CEDAR_CREEK_3_1,z14,0.1
z_5,z15,0.1
AUSTIN_1_1,z16,0.1
AUSTIN_2_1,z17,0.1
AUSTIN_3_1,z18,0.1
AUSTIN_4_1,z19,0.1
AUSTIN_5_1,z20,0.1
AUSTIN_6_1,z21,0.1
AUSTIN_7_1,z22,0.1
AUSTIN_7_2,z23,0.1
AUSTIN_8_1,z24,0.1
AUSTIN_9_1,z25,0.1
AUSTIN_10_1,z26,0.1
AUSTIN_11_1,z27,0.1
AUSTIN_12_1,z28,0.1
AUSTIN_12_2,z29,0.1
AUSTIN_13_1,z30,0.1
AUSTIN_13_2,z31,0.1
AUSTIN_14_1,z32,0.1
AUSTIN_15_1,z33,0.1
AUSTIN_16_1,z34,0.1
AUSTIN_16_2,z35,0.1
AUSTIN_17_1,z36,0.1
AUSTIN_18_1,z37,0.1
DEL_VALLE_4_1,z38,0.1
AUSTIN_19_1,z39,0.1
AUSTIN_20_1,z40,0.1
AUSTIN_21_1,z41,0.1
AUSTIN_22_1,z42,0.1
AUSTIN_23_1,z43,0.1
AUSTIN_24_1,z44,0.1
AUSTIN_25_1,z45,0.1
AUSTIN_25_2,z46,0.1
AUSTIN_26_1,z47,0.1
AUSTIN_26_2,z48,0.1
AUSTIN_27_1,z49,0.1
AUSTIN_27_2,z50,0.1
AUSTIN_28_1,z51,0.1
AUSTIN_29_1,z52,0.1
AUSTIN_29_2,z53,0.1
AUSTIN_30_1,z54,0.1
AUSTIN_31_1,z55,0.1
CEDAR_PARK_4_1,z56,0.1
MANCHACA_1_2,z57,0.1
AUSTIN_32_1,z58,0.1
CEDAR_PARK_5_1,z59,0.1
PFLUGERVILLE_1_1,z60,0.1
AUSTIN_33_1,z61,0.1
AUSTIN_34_1,z62,0.1
AUSTIN_35_1,z63,0.1
ROUND_ROCK_1_1,z64,0.1
ROUND_ROCK_1_2,z65,0.1
AUSTIN_36_1,z66,0.1
AUSTIN_37_1,z67,0.1
AUSTIN_38_1,z68,0.1
AUSTIN_39_1,z69,0.1
AUSTIN_39_2,z70,0.1
AUSTIN_40_1,z71,0.1
AUSTIN_41_1,z72,0.1
CEDAR_PARK_7_1,z73,0.1
PFLUGERVILLE_2_1,z74,0.1
AUSTIN_42_1,z75,0.1
AUSTIN_42_2,z76,0.1
AUSTIN_43_1,z77,0.1
AUSTIN_44_1,z78,0.1
AUSTIN_45_1,z79,0.1
AUSTIN_45_2,z80,0.1
AUSTIN_46_1,z81,0.1
AUSTIN_47_1,z82,0.1
DEL_VALLE_5_2,z83,0.1
z_1,z84,0.1
ROUND_ROCK_6_1,z85,0.1
AUSTIN_48_1,z86,0.1
MANCHACA_3_1,z87,0.1
MANCHACA_3_2,z88,0.1
AUSTIN_49_1,z89,0.1
AUSTIN_50_1,z90,0.1
MANCHACA_4_1,z91,0.1
MANCHACA_4_2,z92,0.1
AUSTIN_51_1,z93,0.1
AUSTIN_52_1,z94,0.1
AUSTIN_53_1,z95,0.1
AUSTIN_53_2,z96,0.1
MANCHACA_7_2,z97,0.1
MANCHACA_7_3,z98,0.1
AUSTIN_54_1,z99,0.1
AUSTIN_54_2,z100,0.1
z_6,z101,0.1
