Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,7685.482538728114,2104.700514689118,14555.190509918437,2384.9949400643145,0.0,1.188960162949706e6,2.0831246928653514e6,1.0051618590210153e6,0.0,1.566654835163928e6,0.0,0.0,0.0,5.8706319185034e6
t1,0.0,0.0,0.0,0.0,0.0,0.0,128.10546874999983,156.9525454545455,89.65698579545473,0.0,181.3849999999999,0.0,0.0,0.0,556.0999999999999
t2,0.0,0.0,0.0,0.0,0.0,0.0,128.10546874999983,156.9525454545455,89.65698579545473,0.0,158.0349999999999,0.0,0.0,0.0,532.75
t3,0.0,0.0,0.0,0.0,0.0,0.0,133.06118440082648,156.9525454545455,89.65698579545473,0.0,142.37928434917333,0.0,0.0,0.0,522.05
t4,0.0,0.0,0.0,0.0,0.0,0.0,128.10546874999983,156.9525454545455,89.65698579545473,0.0,143.53499999999994,0.0,0.0,0.0,518.25
t5,0.0,0.0,0.0,0.0,0.0,0.0,128.10546874999983,156.9525454545455,89.65698579545473,0.0,157.23499999999987,0.0,0.0,0.0,531.9499999999999
t6,0.0,0.0,0.0,0.0,0.0,0.0,189.86118440082643,156.9525454545455,89.65698579545473,0.0,142.37928434917333,0.0,0.0,0.0,578.8499999999999
t7,0.0,0.0,0.0,0.0,0.0,0.0,128.10546874999983,285.3682644628099,111.59698243801692,0.0,142.37928434917333,0.0,0.0,0.0,667.4499999999999
t8,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,156.9525454545455,163.0127014462813,0.0,174.61571900826442,0.0,0.0,0.0,727.5
t9,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,207.7889801136366,163.0127014462813,0.0,142.37928434917333,0.0,0.0,0.0,746.1
t10,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,219.93898011363655,163.0127014462813,0.0,142.37928434917333,0.0,0.0,0.0,758.25
t11,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,228.08898011363655,163.0127014462813,0.0,142.37928434917333,0.0,0.0,0.0,766.4
t12,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,230.68898011363672,163.0127014462813,0.0,142.37928434917333,0.0,0.0,0.0,769.0000000000001
t13,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,225.43898011363666,163.0127014462813,0.0,142.37928434917333,0.0,0.0,0.0,763.75
t14,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,219.38898011363656,163.0127014462813,0.0,142.37928434917333,0.0,0.0,0.0,757.6999999999999
t15,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,209.33898011363652,163.0127014462813,0.0,142.37928434917333,0.0,0.0,0.0,747.6499999999999
t16,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,205.93898011363666,163.0127014462813,0.0,142.37928434917333,0.0,0.0,0.0,744.25
t17,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,228.68898011363655,163.0127014462813,0.0,142.37928434917333,0.0,0.0,0.0,767.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,285.3682644628099,139.48341709710795,0.0,142.37928434917333,0.0,0.0,0.0,800.15
t19,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,285.3682644628099,127.68341709710789,0.0,142.37928434917333,0.0,0.0,0.0,788.3499999999999
t20,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,223.48898011363661,163.0127014462813,0.0,142.37928434917333,0.0,0.0,0.0,761.8
t21,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,156.9525454545455,163.0127014462813,0.0,180.2657190082644,0.0,0.0,0.0,733.1499999999999
t22,0.0,0.0,0.0,0.0,0.0,0.0,128.10546874999983,285.3682644628099,138.59698243801688,0.0,142.37928434917333,0.0,0.0,0.0,694.4499999999999
t23,0.0,0.0,0.0,0.0,0.0,0.0,128.10546874999983,282.6082611053722,89.65698579545473,0.0,142.37928434917333,0.0,0.0,0.0,642.7500000000001
t24,0.0,0.0,0.0,0.0,0.0,0.0,128.10546874999983,156.9525454545455,163.0127014462813,0.0,142.37928434917333,0.0,0.0,0.0,590.4499999999999
t25,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,185.8182644628099,163.0127014462813,0.0,165.0,0.0,0.0,0.0,746.75
t26,0.0,0.0,0.0,0.0,0.0,0.0,218.13475309917314,156.9525454545455,163.0127014462813,0.0,165.0,0.0,0.0,0.0,703.0999999999999
t27,0.0,0.0,0.0,0.0,0.0,0.0,128.10546874999983,285.3682644628099,96.42626678719016,0.0,165.0,0.0,0.0,0.0,674.8999999999999
t28,0.0,0.0,0.0,0.0,0.0,0.0,128.10546874999983,274.53754545454547,89.65698579545473,0.0,165.0,0.0,0.0,0.0,657.3
t29,0.0,0.0,0.0,0.0,0.0,0.0,128.10546874999983,276.13754545454543,89.65698579545473,0.0,165.0,0.0,0.0,0.0,658.9
t30,0.0,0.0,0.0,0.0,0.0,0.0,128.10546874999983,285.3682644628099,107.12626678719018,0.0,165.0,0.0,0.0,0.0,685.5999999999999
t31,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,198.66826446280987,163.0127014462813,0.0,165.0,0.0,0.0,0.0,759.5999999999999
t32,0.0,0.0,0.0,0.0,0.0,0.0,232.91903409090878,285.3682644628099,163.0127014462813,0.0,174.39999999999998,0.0,0.0,0.0,855.7
t33,0.0,0.0,0.0,0.0,0.0,0.0,184.4190340909087,285.3682644628099,163.0127014462813,0.0,300.0,0.0,0.0,0.0,932.8
t34,0.0,0.0,170.38205082968545,0.0,246.70963727940315,0.0,232.91903409090878,285.3682644628099,163.0127014462813,0.0,300.0,0.0,0.0,0.0,1398.3916881090886
t35,0.0,866.9576662272765,207.99123267305723,0.0,301.1669440542127,0.0,232.91903409090878,285.3682644628099,163.0127014462813,0.0,300.0,0.0,0.0,0.0,2357.4158429545464
t36,0.0,524.4585657031273,114.3951779701815,1288.3275236332368,165.64181922981697,0.0,232.91903409090878,285.3682644628099,163.0127014462813,0.0,300.0,0.0,0.0,0.0,3074.1230865363623
t37,0.0,524.4585657031273,114.3951779701815,1150.3062380724782,301.16694405421293,0.0,232.91903409090878,285.3682644628099,163.0127014462813,0.0,300.0,0.0,0.0,0.0,3071.6269258
t38,0.0,549.6294232540156,114.3951779701815,1482.644541921588,301.16694405421293,0.0,232.91903409090878,285.3682644628099,163.0127014462813,0.0,300.0,0.0,0.0,0.0,3429.1360871999977
t39,0.0,682.0530769511417,207.99123267305723,1482.644541921588,301.16694405421293,0.0,232.91903409090878,285.3682644628099,163.0127014462813,0.0,300.0,0.0,0.0,0.0,3655.1557955999997
t40,0.0,853.3447427511414,207.99123267305723,1482.644541921588,301.16694405421293,0.0,232.91903409090878,285.3682644628099,163.0127014462813,0.0,300.0,0.0,0.0,0.0,3826.447461399999
t41,0.0,953.5610285511408,207.99123267305723,1482.644541921588,301.1669440542127,0.0,232.91903409090878,285.3682644628099,163.0127014462813,0.0,300.0,0.0,0.0,0.0,3926.6637471999984
