Resource,Fuel,Zone,AnnualSumCosts
natural_gas_combined_cycle,NG,1,0.0
coal_super_1,coal,1,150474.734281978
coal_super_2,coal,1,41208.115312873924
coal_super_3,coal,1,284977.3470132694
coal_super_4,coal,1,46696.02436302348
coal_super_5,coal,1,0.0
20A_retrofit_1,blue_ammonia,1,2.2268456972742888e8
20A_retrofit_2,blue_ammonia,1,3.9015581881941086e8
20A_retrofit_3,blue_ammonia,1,1.8826033290064576e8
20A_retrofit_4,blue_ammonia,1,0.0
20A_retrofit_5,blue_ammonia,1,2.934243457025167e8
