region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,286700360.3925131,0.0,0.0,45096125.494767316,0.0,0.0,10472782.249372689,50477978.63348002,0.0,12201269.714565009,0.0,0.0,75734087.35997403,0.0,0.0,0.0,329214429.12472415,0.0,0.0,0.0,75734087.35997403,404948516.48469806,-329214429.12472403
CT,CT_natural_gas_combined_cycle,2,1,2,470959630.6305575,0.0,0.0,69837408.22408481,0.0,0.0,5118.435036071176,19293.489241849467,0.0,20366.982911346127,0.0,0.0,44778.90718926676,0.0,0.0,0.0,540797038.8546424,0.0,0.0,0.0,44778.90718926676,540841817.7618315,-540797038.8546423
ME,ME_natural_gas_combined_cycle,3,1,3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,MA_solar_pv,1,1,4,515261599.31896585,0.0,0.0,113321308.36135757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238358746.67330617,0.0,0.0,0.0,390224161.00700325,0.0,0.0,0.0,238358746.67330617,628582907.6803234,-390224161.0070172
CT,CT_onshore_wind,2,1,5,972000000.0,0.0,0.0,432050000.0,0.0,0.0,6228244.600742865,0.0,0.0,0.0,0.0,0.0,32558060.023808654,0.0,0.0,0.0,646004301.0752689,0.0,0.0,731715883.5016654,32558060.023808654,1410278244.6007428,-1377720184.576934
CT,CT_solar_pv,2,1,6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,ME_onshore_wind,3,1,7,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,MA_battery,1,0,8,6202291.486046751,7123894.234432987,0.0,1550256.1695362972,1780498.505645161,0.0,4476.788630914808,0.0,5289.211520457001,0.0,3569.8017712742317,0.0,934039.2425185282,0.0,0.0,0.0,3733329.340218616,0.0,0.0,12002907.614846699,934039.2425185282,16670276.197583841,-15736236.955065314
CT,CT_battery,2,0,9,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,ME_battery,3,0,10,111301708.51395325,127840105.76556702,0.0,27819743.830463704,31951501.49435484,0.0,115603.70744587337,0.0,136582.83015816775,0.0,538106.8437953184,0.0,17348214.062820584,0.0,0.0,0.0,66959889.01035854,0.0,0.0,215395249.91255906,17348214.062820584,299703352.98573816,-282355138.9229176
