Region,Resource,Zone,Cluster,AnnualSum
MA,MA_natural_gas_combined_cycle,1,1,7.573408735997403e7
CT,CT_natural_gas_combined_cycle,2,1,44778.90718926676
ME,ME_natural_gas_combined_cycle,3,1,0.0
MA,MA_solar_pv,1,1,2.3835874667330617e8
CT,CT_onshore_wind,2,1,3.2558060023808654e7
CT,CT_solar_pv,2,1,0.0
ME,ME_onshore_wind,3,1,0.0
MA,MA_battery,1,0,934039.2425185282
CT,CT_battery,2,0,0.0
ME,ME_battery,3,0,1.7348214062820584e7
