BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t9,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,3951.1307837547506,-46.194911369457664,-9945.517341540812,8193.452256979086,0.0,-0.0,0.0,0.0,0.0,0.0,-5320.601500309617,-32.7372274023828,-2840.113529267086,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1369.4707165548673,-13.457683967074862,-1356.0130325877924
t10,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4311.825907899179,-49.202124713131184,-10303.205252341568,8708.617748462351,0.0,-0.0,0.0,0.0,0.0,0.0,-5730.601595145588,-35.2599245709008,-2942.756228745862,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1418.7756872464092,-13.942200142230389,-1404.8334871041789
t11,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4454.610744053564,-50.50594879590755,-10444.686264413176,8919.916221474792,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2983.6140023247917,0.0,0.0,-7.421658873668876,0.0,0.0,0.0,0.0,1445.3892559464362,-14.203729645907547,-1423.7638674268592
t12,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4452.469022661134,-50.35691771434516,-10442.69357410231,8908.210943257773,0.0,-0.0,0.0,0.0,0.0,0.0,-5889.356739957498,-36.23673203838417,-2982.617471261891,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1436.8877172963632,-14.120185675960988,-1422.7675316204022
t13,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4390.478531298988,-51.1361711445325,-10379.923829309975,8900.982131279678,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2964.6799121296776,0.0,0.0,-79.89067153773203,0.0,0.0,0.0,0.0,1509.5214687010125,-14.833951994532494,-1414.7968451687475
t14,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4309.804701974178,-49.17360909899752,-10301.212562030702,8705.57169111676,0.0,-0.0,0.0,0.0,0.0,0.0,-5727.574165328922,-35.241297041974384,-2942.756228745862,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1417.769463354745,-13.93231205702313,-1403.837151297722
t15,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4281.947094329705,-52.202701272974714,-10270.32586221225,8870.089668329756,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2933.787449179755,0.0,0.0,-202.30061547542635,0.0,0.0,0.0,0.0,1618.0529056702958,-15.900482122974712,-1399.8518080718945
t16,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4299.706784015589,-52.028178161047784,-10288.260075010061,8875.072323644259,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2938.7701044942587,0.0,0.0,-181.7264414820991,0.0,0.0,0.0,0.0,1600.293215984411,-15.725959011047783,-1402.840815491265
t17,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4775.271807826445,-47.354837052782834,-10768.498439929182,9011.597079261659,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3075.294860111659,0.0,354.92340444664563,-0.0,0.0,0.0,0.0,0.0,1124.7281921735553,-11.052617902782824,-1468.598978717418
t18,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,5484.672745834756,-40.383608304146925,-11484.870606686129,9216.88247821921,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3280.5802590692097,0.0,1153.9976869326356,-0.0,0.0,0.0,0.0,0.0,415.3272541652453,-4.081389154146922,-1565.243551943734
t19,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,5488.61934354273,-40.34482539038538,-11488.855987307865,9217.879009282111,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3281.5767901321105,0.0,1158.9018375333062,-0.0,0.0,0.0,0.0,0.0,411.38065645726994,-4.042606240385373,-1566.2398877501907
t20,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,5280.436314447106,-42.39062409130634,-11278.62715951132,9158.087145508067,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3221.7849263580665,0.0,924.8672045578109,-0.0,0.0,0.0,0.0,0.0,619.563685552894,-6.088404941306344,-1538.3424851693985
t21,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4870.9768022448125,-46.414351394065605,-10865.143920006267,9040.49648008578,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3104.19426093578,0.0,462.6402786902348,-0.0,0.0,0.0,0.0,0.0,1029.023197755188,-10.112132244065604,-1481.5513442013573
t22,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4197.095243608267,-53.0365339188477,-10184.640178844938,8846.172922820138,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2909.8707036701376,0.0,0.0,-298.27466322847437,0.0,0.0,0.0,0.0,1702.9047563917338,-16.734314768847703,-1387.895778394412
t23,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,3435.951826496307,-53.10081555835791,-9423.432480093468,8161.029195949542,0.0,-0.0,0.0,0.0,0.0,0.0,-5435.951826496307,-33.446968558357916,-2691.6304008948773,0.0,0.0,-696.0692984771018,0.0,0.0,0.0,0.0,2000.0,-19.653847,-1284.2768545228982
t24,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,2650.4896058166955,-39.80609033999059,-8651.264984632226,6616.713869895874,0.0,-0.0,0.0,0.0,0.0,0.0,-4120.957449635384,-25.355915329574376,-2470.400504930915,0.0,0.0,-276.35607396334586,0.0,0.0,0.0,0.0,1470.4678438186893,-14.450175010416206,-1179.6615948449273
t25,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,2100.603791831977,-44.88452793193312,-8096.300733055564,6438.783069756509,0.0,-0.0,0.0,0.0,0.0,0.0,-4100.603791831977,-25.230680931933122,-2312.948596992599,0.0,0.0,-876.4060794457943,0.0,0.0,0.0,0.0,2000.0,-19.653847,-1103.9400735542058
t26,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,1815.8899466032472,-43.132706846419126,-7813.338708912347,6070.601856284405,0.0,-0.0,0.0,0.0,0.0,0.0,-3815.889946603247,-23.47885984641913,-2231.233049834739,0.0,0.0,-915.2631758976121,0.0,0.0,0.0,0.0,2000.0,-19.653847,-1065.082977102388
t27,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,1700.6008895564016,-42.42334267446804,-7698.759016037453,5922.714441052785,0.0,-0.0,0.0,0.0,0.0,0.0,-3700.6008895564014,-22.76949567446804,-2199.3440558219154,0.0,0.0,-930.208212994465,0.0,0.0,0.0,0.0,2000.0,-19.653847,-1050.137940005535
t28,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,1691.5271064809708,-27.37148866643396,-7704.737086970056,4971.369988907113,0.0,-0.0,0.0,0.0,0.0,0.0,-2753.0933121866174,-16.939558772779314,-2201.337117947717,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1061.5662057056466,-10.431929893654651,-1051.134275811992
t29,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,1932.6480790396645,-29.36962392100172,-7943.859924274183,5314.135954804245,0.0,-0.0,0.0,0.0,0.0,0.0,-3026.413449278563,-18.621275300714885,-2269.101230224967,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1093.7653702388984,-10.748348620286832,-1083.0170216186116
t30,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,2680.0566176848183,-48.449853944000346,-8672.188232896337,7185.232315937139,0.0,-0.0,0.0,0.0,0.0,0.0,-4680.056617684819,-28.796006944000347,-2476.3796913083193,0.0,0.0,-798.6918865421587,0.0,0.0,0.0,0.0,2000.0,-19.653847,-1181.6542664578412
t31,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4003.3747397321945,-46.62891926434239,-9997.327289623372,8268.052537440124,0.0,-0.0,0.0,0.0,0.0,0.0,-5379.889023528711,-33.10201870081674,-2855.061495210597,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1376.514283796516,-13.526900563525652,-1362.9873832329904
t32,6285.67965864016,0.0,-0.0,0.0,0.0,0.0,0.0,4505.919206552338,-50.00174446002947,-10741.597120732467,9004.621361821353,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3068.319142671354,0.0,83.23603154750124,-0.0,0.0,0.0,0.0,0.0,1394.080793447662,-13.699525310029475,-1463.6172996851337
t33,6423.547390225268,0.0,-0.0,0.0,0.0,0.0,0.0,4528.243664254067,-49.7823637220156,-10902.00869075732,9051.458321777687,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3115.156102627688,0.0,128.25683205972393,-0.0,0.0,0.0,0.0,0.0,1371.7563357459333,-13.4801445720156,-1486.5330232336416
t34,6423.547390225268,0.0,-0.0,0.0,0.0,0.0,0.0,4618.028762110473,-48.900052433940694,-10992.6760999018,9076.371598350206,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3140.0693792002066,0.0,229.11564830553655,-0.0,0.0,0.0,0.0,0.0,1281.971237889528,-12.597833283940693,-1498.489052911124
t35,6423.547390225268,0.0,-0.0,0.0,0.0,0.0,0.0,4702.880612831912,-48.066219788067684,-11078.361783269112,9101.284874922727,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3164.9826557727247,0.0,325.0896960585856,-0.0,0.0,0.0,0.0,0.0,1197.1193871680882,-11.764000638067685,-1510.4450825886063
t36,6423.547390225268,0.0,-0.0,0.0,0.0,0.0,0.0,4687.094222000018,-48.22135144311382,-11062.420260782172,9095.30568854532,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3159.0034693953203,0.0,307.46576526882353,-0.0,0.0,0.0,0.0,0.0,1212.9057779999828,-11.919132293113814,-1508.4524109756926
t37,6423.547390225268,0.0,-0.0,0.0,0.0,0.0,0.0,4581.522733311715,-49.25879438623489,-10955.811329150749,9065.409756658299,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3129.1075375082987,0.0,187.98668242678863,-0.0,0.0,0.0,0.0,0.0,1318.477266688286,-12.956575236234881,-1493.5073738788396
t38,6423.547390225268,0.0,-0.0,0.0,0.0,0.0,0.0,4507.524026287202,-49.985974019263686,-10881.085442493208,9044.482604337383,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3108.1803851873833,0.0,104.75179697073634,-0.0,0.0,0.0,0.0,0.0,1392.4759737127983,-13.68375486926368,-1483.544015814271
t39,6423.547390225268,0.0,-0.0,0.0,0.0,0.0,0.0,4391.099393901974,-51.13006997522895,-10763.516714152012,9010.60054819876,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3074.298329048758,0.0,0.0,-26.470112361836435,0.0,0.0,0.0,0.0,1508.9006060980269,-14.827850825228943,-1467.6026429109613
t40,6423.547390225268,0.0,-0.0,0.0,0.0,0.0,0.0,4396.032641036941,-51.081591333027035,-10768.498439929182,9011.597079261659,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3075.294860111659,0.0,0.0,-20.58900806261515,0.0,0.0,0.0,0.0,1503.96735896306,-14.779372183027029,-1468.598978717418
t41,6423.547390225268,0.0,-0.0,0.0,0.0,0.0,0.0,4882.450808544726,-46.301597211917844,-11259.696601558077,9152.107959130662,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3215.805739980662,0.0,526.8073285502142,-0.0,0.0,0.0,0.0,0.0,1017.5491914552748,-9.999378061917838,-1534.3571419435712
t42,6423.547390225268,291.3658173592223,-0.0,0.0,0.0,0.0,0.0,5302.334646433199,-42.17543085810141,-11975.072423159589,9356.396827025312,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3420.0946078753122,0.0,1041.202244924101,-0.0,0.0,0.0,0.0,0.0,597.6653535668013,-5.873211708101408,-1632.9943867828008
t43,6423.547390225268,0.0,-0.0,0.0,0.0,0.0,0.0,5492.200154426694,-40.309637035760694,-11875.437907616202,9328.493957264092,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3392.1917381140915,0.0,1215.2532578048595,-0.0,0.0,0.0,0.0,0.0,407.79984557330584,-4.00741788576069,-1619.0456854924046
t44,6423.547390225268,0.0,-0.0,0.0,0.0,0.0,0.0,5119.24667102316,-43.97462238622575,-11498.819438862203,9220.868602470811,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3284.5663833208127,0.0,795.1516336224896,-0.0,0.0,0.0,0.0,0.0,780.7533289768404,-7.672403236225743,-1568.2325593631044
t45,6285.67965864016,0.0,-0.0,0.0,0.0,0.0,0.0,4719.035482782931,-47.907467116906574,-10956.807674306183,9065.409756658299,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3129.1075375082987,0.0,324.14810462867695,-0.0,0.0,0.0,0.0,0.0,1180.9645172170692,-11.605247966906571,-1493.5073738788396
t46,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4172.42900793343,-53.278927129857294,-10159.731549959093,8838.200674316931,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2901.8984551669314,0.0,0.0,-325.6875131116719,0.0,0.0,0.0,0.0,1727.5709920665706,-16.976707979857295,-1384.9067709750416
t47,6040.581469155521,0.0,-316.7019753904591,0.0,0.0,0.0,0.0,3489.9509329533284,-53.43306765946079,-9160.397359058928,8139.624193727212,0.0,-0.0,0.0,0.0,0.0,0.0,-5489.950932953328,-33.77922065946079,-2615.8940401144214,0.0,0.0,-731.937387509549,0.0,0.0,0.0,0.0,2000.0,-19.653847,-1248.408765490451
t48,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,2260.0034446184864,-45.86530100445681,-8254.719612769548,6644.007393446076,0.0,-0.0,0.0,0.0,0.0,0.0,-4260.003444618486,-26.211454004456808,-2357.792494823132,0.0,0.0,-854.4866917037434,0.0,0.0,0.0,0.0,2000.0,-19.653847,-1125.8594612962568
t49,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,1680.5506187656474,-42.2999749923896,-7678.832112928776,5896.561616202549,0.0,-0.0,0.0,0.0,0.0,0.0,-3680.5506187656474,-22.646127992389598,-2193.364869444511,0.0,0.0,-934.1935562202924,0.0,0.0,0.0,0.0,2000.0,-19.653847,-1046.1525967797077
t50,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,1297.6519624562386,-24.063645571776053,-7314.169786039982,4407.777053387714,0.0,-0.0,0.0,0.0,0.0,0.0,-2303.875854120359,-14.175560364520456,-2089.725638902835,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1006.22389166412,-9.888085207255594,-996.3358064568644
t51,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,1134.1807397175533,-38.938205655751815,-7135.824003217321,5191.371122005302,0.0,-0.0,0.0,0.0,0.0,0.0,-3134.180739717553,-19.28435865575182,-2037.9060236319967,0.0,0.0,-1007.9224058981005,0.0,0.0,0.0,0.0,2000.0,-19.653847,-972.4237471018996
t52,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,1075.6844475958442,-26.273790684002027,-7089.992126067363,4344.821392430512,0.0,-0.0,0.0,0.0,0.0,0.0,-2305.6835894038345,-14.186683212389255,-2024.9511198142875,0.0,0.0,-251.4663020732183,0.0,0.0,0.0,0.0,1229.99914180799,-12.08710747161277,-966.4457322631584
t53,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,1275.564306894555,-23.895583429638105,-7292.250192620437,4376.552946630673,0.0,-0.0,0.0,0.0,0.0,0.0,-2279.7757507753468,-14.02727439279702,-2082.74992146253,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1004.2114438807916,-9.868309036841085,-994.3431348439507
t54,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,1968.2720046129893,-44.07030123021534,-7964.783172538294,6267.768875445577,0.0,-0.0,0.0,0.0,0.0,0.0,-3968.2720046129893,-24.416454230215347,-2275.0804166023713,0.0,0.0,-894.3401239620177,0.0,0.0,0.0,0.0,2000.0,-19.653847,-1086.0060290379822
t55,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,3303.085812311405,-40.79256518095518,-9302.87471628597,7268.9656728053005,0.0,-0.0,0.0,0.0,0.0,0.0,-4584.0088263998305,-28.205032712118804,-2656.7518136933513,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1280.923014088425,-12.587532468836372,-1268.3354816195883
t56,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4047.5824085474133,-46.99740124046993,-10041.166476462462,8331.561606887923,0.0,-0.0,0.0,0.0,0.0,0.0,-5430.134035693914,-33.41117216570074,-2868.0163990283068,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1382.5516271465008,-13.586229074769186,-1368.9653980717317
t57,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4122.932712472007,-47.62181850752236,-10115.892363120003,8439.423369527953,0.0,-0.0,0.0,0.0,0.0,0.0,-5515.546578535148,-33.936708580680616,-2889.940082412123,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1392.6138660631423,-13.685109926841744,-1378.9287561363003
t58,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4080.730070735863,-47.26567329960266,-10074.04586659178,8378.928194990338,0.0,-0.0,0.0,0.0,0.0,0.0,-5467.3065934490205,-33.639891884004456,-2877.9817096573142,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1386.5765227131571,-13.625781415598206,-1372.950741297559
t59,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4092.7925909021674,-47.372051600701376,-10086.002008456986,8396.079358259358,0.0,-0.0,0.0,0.0,0.0,0.0,-5481.381561398653,-33.726494014688654,-2880.9713028460164,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1388.5889704964857,-13.645557586012721,-1374.943412910473
t60,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4050.589949166026,-47.015906392781694,-10044.155511928764,8335.584183721749,0.0,-0.0,0.0,0.0,0.0,0.0,-5433.141576312527,-33.42967731801251,-2869.0129300912076,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1382.5516271465008,-13.586229074769186,-1368.9653980717317
t61,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,3934.0395170448296,-46.04151230191351,-9928.579473898437,8169.232459530647,0.0,-0.0,0.0,0.0,0.0,0.0,-5300.491561924704,-32.61349259046041,-2836.1274050154834,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1366.4520448798748,-13.428019711453096,-1353.0240251684218
t62,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,3857.6866995807004,-45.41092665075717,-9852.857242085463,8061.358546029879,0.0,-0.0,0.0,0.0,0.0,0.0,-5214.076505543934,-32.08178779137663,-2815.200252694568,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1356.3898059632338,-13.329138859380542,-1343.0606671038531
t63,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,3761.7687268460854,-55.105540392132724,-9747.244655609473,8581.528209982864,0.0,-0.0,0.0,0.0,0.0,0.0,-5761.768726846086,-35.451693392132725,-2784.307789744645,0.0,0.0,-652.230522993,0.0,0.0,0.0,0.0,2000.0,-19.653847,-1328.1156300070002
t64,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,3759.2300477089616,-44.596100011537054,-9755.215416852945,7920.23530121086,0.0,-0.0,0.0,0.0,0.0,0.0,-5102.538943080562,-31.39550625985084,-2786.300851870447,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1343.3088953716,-13.200593751686219,-1330.1083016199138
t65,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4251.545664759507,-48.70259089948926,-10243.424543015537,8622.92625698807,0.0,-0.0,0.0,0.0,0.0,0.0,-5662.271560872603,-34.83949543891691,-2925.815200676549,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1410.7258961130963,-13.863095460572342,-1396.862800652524
t66,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,5144.278693522006,-43.728634616079304,-11141.131528061447,9119.222434054938,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3182.920214904938,0.0,771.1172138348032,-0.0,0.0,0.0,0.0,0.0,755.7213064779942,-7.426415466079303,-1519.4121048467182
t67,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,5154.145187791942,-43.63167733167546,-11151.094979615786,9121.215496180741,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3184.9132770307397,0.0,781.8830866267919,-0.0,0.0,0.0,0.0,0.0,745.8548122080584,-7.329458181675456,-1520.408440653175
t68,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4891.6964402116755,-46.21074109681755,-10886.067168270378,9045.479135400285,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3109.1769162502837,0.0,485.1489779727638,-0.0,0.0,0.0,0.0,0.0,1008.3035597883247,-9.908521946817542,-1483.544015814271
t69,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,4464.4772383235,-50.4089915115037,-10454.649715967516,8922.905814663494,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2986.603595513494,0.0,3.3442139183195163,-0.0,0.0,0.0,0.0,0.0,1435.5227616765003,-14.1067723615037,-1424.7602032333161
t70,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,3744.1438080781154,-44.455037712200735,-9740.270239521436,7898.032867609703,0.0,-0.0,0.0,0.0,0.0,0.0,-5084.434031774723,-31.284108216136282,-2782.314727618844,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1340.2902236966079,-13.170929496064451,-1327.1192942005434
t71,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,2843.9340362952366,-36.97052519806153,-8847.544980252696,6614.669998628816,0.0,-0.0,0.0,0.0,0.0,0.0,-4062.471169100486,-24.996054012075007,-2527.202775516256,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1218.5371328052495,-11.974471185986525,-1206.5626616192628
t72,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,2016.3926545108027,-44.36638366720362,-8012.607739999119,6330.137042660987,0.0,-0.0,0.0,0.0,0.0,0.0,-4016.3926545108025,-24.712536667203626,-2289.0318514829814,0.0,0.0,-888.3621091232768,0.0,0.0,0.0,0.0,2000.0,-19.653847,-1091.9840438767233
t73,6040.581469155521,0.0,-0.0,0.0,0.0,0.0,0.0,1460.4312693176537,-25.435037252905435,-7475.577701220268,4640.6839043722,0.0,-0.0,0.0,0.0,0.0,0.0,-2489.798310490048,-15.319526085882963,-2135.5660677962687,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1029.3670411723945,-10.115511167022472,-1019.2515300053722
