Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,51074346.875253916
CT_natural_gas_combined_cycle,CT_NG,2,20105.761824724425
ME_natural_gas_combined_cycle,ME_NG,3,0.0
