Time_Index,CT_NG,ME_NG,MA_NG,MA_NGCCS,None
0,0.05306,0.05306,0.05306,0.005306,0.0
1,3.14,3.14,3.69,3.69,0.0
2,3.14,3.14,3.69,3.69,0.0
3,3.14,3.14,3.69,3.69,0.0
4,3.14,3.14,3.69,3.69,0.0
5,3.14,3.14,3.69,3.69,0.0
6,3.14,3.14,3.69,3.69,0.0
7,3.14,3.14,3.69,3.69,0.0
8,3.14,3.14,3.69,3.69,0.0
9,3.14,3.14,3.69,3.69,0.0
10,3.14,3.14,3.69,3.69,0.0
11,3.14,3.14,3.69,3.69,0.0
12,3.14,3.14,3.69,3.69,0.0
13,3.14,3.14,3.69,3.69,0.0
14,3.14,3.14,3.69,3.69,0.0
15,3.14,3.14,3.69,3.69,0.0
16,3.14,3.14,3.69,3.69,0.0
17,3.14,3.14,3.69,3.69,0.0
18,3.14,3.14,3.69,3.69,0.0
19,3.14,3.14,3.69,3.69,0.0
20,3.14,3.14,3.69,3.69,0.0
21,3.14,3.14,3.69,3.69,0.0
22,3.14,3.14,3.69,3.69,0.0
23,3.14,3.14,3.69,3.69,0.0
24,3.14,3.14,3.69,3.69,0.0
25,3.14,3.14,3.69,3.69,0.0
26,3.14,3.14,3.69,3.69,0.0
27,3.14,3.14,3.69,3.69,0.0
28,3.14,3.14,3.69,3.69,0.0
29,3.14,3.14,3.69,3.69,0.0
30,3.14,3.14,3.69,3.69,0.0
31,3.14,3.14,3.69,3.69,0.0
32,3.14,3.14,3.69,3.69,0.0
33,3.14,3.14,3.69,3.69,0.0
34,3.14,3.14,3.69,3.69,0.0
35,3.14,3.14,3.69,3.69,0.0
36,3.14,3.14,3.69,3.69,0.0
37,3.14,3.14,3.69,3.69,0.0
38,3.14,3.14,3.69,3.69,0.0
39,3.14,3.14,3.69,3.69,0.0
40,3.14,3.14,3.69,3.69,0.0
41,3.14,3.14,3.69,3.69,0.0
42,3.14,3.14,3.69,3.69,0.0
43,3.14,3.14,3.69,3.69,0.0
44,3.14,3.14,3.69,3.69,0.0
45,3.14,3.14,3.69,3.69,0.0
46,3.14,3.14,3.69,3.69,0.0
47,3.14,3.14,3.69,3.69,0.0
48,3.14,3.14,3.69,3.69,0.0
49,3.14,3.14,3.69,3.69,0.0
50,3.14,3.14,3.69,3.69,0.0
51,3.14,3.14,3.69,3.69,0.0
52,3.14,3.14,3.69,3.69,0.0
53,3.14,3.14,3.69,3.69,0.0
54,3.14,3.14,3.69,3.69,0.0
55,3.14,3.14,3.69,3.69,0.0
56,3.14,3.14,3.69,3.69,0.0
57,3.14,3.14,3.69,3.69,0.0
58,3.14,3.14,3.69,3.69,0.0
59,3.14,3.14,3.69,3.69,0.0
60,3.14,3.14,3.69,3.69,0.0
61,3.14,3.14,3.69,3.69,0.0
62,3.14,3.14,3.69,3.69,0.0
63,3.14,3.14,3.69,3.69,0.0
64,3.14,3.14,3.69,3.69,0.0
65,3.14,3.14,3.69,3.69,0.0
66,3.14,3.14,3.69,3.69,0.0
67,3.14,3.14,3.69,3.69,0.0
68,3.14,3.14,3.69,3.69,0.0
69,3.14,3.14,3.69,3.69,0.0
70,3.14,3.14,3.69,3.69,0.0
71,3.14,3.14,3.69,3.69,0.0
72,3.14,3.14,3.69,3.69,0.0
73,3.14,3.14,3.69,3.69,0.0
74,3.14,3.14,3.69,3.69,0.0
75,3.14,3.14,3.69,3.69,0.0
76,3.14,3.14,3.69,3.69,0.0
77,3.14,3.14,3.69,3.69,0.0
78,3.14,3.14,3.69,3.69,0.0
79,3.14,3.14,3.69,3.69,0.0
80,3.14,3.14,3.69,3.69,0.0
81,3.14,3.14,3.69,3.69,0.0
82,3.14,3.14,3.69,3.69,0.0
83,3.14,3.14,3.69,3.69,0.0
84,3.14,3.14,3.69,3.69,0.0
85,3.14,3.14,3.69,3.69,0.0
86,3.14,3.14,3.69,3.69,0.0
87,3.14,3.14,3.69,3.69,0.0
88,3.14,3.14,3.69,3.69,0.0
89,3.14,3.14,3.69,3.69,0.0
90,3.14,3.14,3.69,3.69,0.0
91,3.14,3.14,3.69,3.69,0.0
92,3.14,3.14,3.69,3.69,0.0
93,3.14,3.14,3.69,3.69,0.0
94,3.14,3.14,3.69,3.69,0.0
95,3.14,3.14,3.69,3.69,0.0
96,3.14,3.14,3.69,3.69,0.0
97,3.14,3.14,3.69,3.69,0.0
98,3.14,3.14,3.69,3.69,0.0
99,3.14,3.14,3.69,3.69,0.0
100,3.14,3.14,3.69,3.69,0.0
101,3.14,3.14,3.69,3.69,0.0
102,3.14,3.14,3.69,3.69,0.0
103,3.14,3.14,3.69,3.69,0.0
104,3.14,3.14,3.69,3.69,0.0
105,3.14,3.14,3.69,3.69,0.0
106,3.14,3.14,3.69,3.69,0.0
107,3.14,3.14,3.69,3.69,0.0
108,3.14,3.14,3.69,3.69,0.0
109,3.14,3.14,3.69,3.69,0.0
110,3.14,3.14,3.69,3.69,0.0
111,3.14,3.14,3.69,3.69,0.0
112,3.14,3.14,3.69,3.69,0.0
113,3.14,3.14,3.69,3.69,0.0
114,3.14,3.14,3.69,3.69,0.0
115,3.14,3.14,3.69,3.69,0.0
116,3.14,3.14,3.69,3.69,0.0
117,3.14,3.14,3.69,3.69,0.0
118,3.14,3.14,3.69,3.69,0.0
119,3.14,3.14,3.69,3.69,0.0
120,3.14,3.14,3.69,3.69,0.0
121,3.14,3.14,3.69,3.69,0.0
122,3.14,3.14,3.69,3.69,0.0
123,3.14,3.14,3.69,3.69,0.0
124,3.14,3.14,3.69,3.69,0.0
125,3.14,3.14,3.69,3.69,0.0
126,3.14,3.14,3.69,3.69,0.0
127,3.14,3.14,3.69,3.69,0.0
128,3.14,3.14,3.69,3.69,0.0
129,3.14,3.14,3.69,3.69,0.0
130,3.14,3.14,3.69,3.69,0.0
131,3.14,3.14,3.69,3.69,0.0
132,3.14,3.14,3.69,3.69,0.0
133,3.14,3.14,3.69,3.69,0.0
134,3.14,3.14,3.69,3.69,0.0
135,3.14,3.14,3.69,3.69,0.0
136,3.14,3.14,3.69,3.69,0.0
137,3.14,3.14,3.69,3.69,0.0
138,3.14,3.14,3.69,3.69,0.0
139,3.14,3.14,3.69,3.69,0.0
140,3.14,3.14,3.69,3.69,0.0
141,3.14,3.14,3.69,3.69,0.0
142,3.14,3.14,3.69,3.69,0.0
143,3.14,3.14,3.69,3.69,0.0
144,3.14,3.14,3.69,3.69,0.0
145,3.14,3.14,3.69,3.69,0.0
146,3.14,3.14,3.69,3.69,0.0
147,3.14,3.14,3.69,3.69,0.0
148,3.14,3.14,3.69,3.69,0.0
149,3.14,3.14,3.69,3.69,0.0
150,3.14,3.14,3.69,3.69,0.0
151,3.14,3.14,3.69,3.69,0.0
152,3.14,3.14,3.69,3.69,0.0
153,3.14,3.14,3.69,3.69,0.0
154,3.14,3.14,3.69,3.69,0.0
155,3.14,3.14,3.69,3.69,0.0
156,3.14,3.14,3.69,3.69,0.0
157,3.14,3.14,3.69,3.69,0.0
158,3.14,3.14,3.69,3.69,0.0
159,3.14,3.14,3.69,3.69,0.0
160,3.14,3.14,3.69,3.69,0.0
161,3.14,3.14,3.69,3.69,0.0
162,3.14,3.14,3.69,3.69,0.0
163,3.14,3.14,3.69,3.69,0.0
164,3.14,3.14,3.69,3.69,0.0
165,3.14,3.14,3.69,3.69,0.0
166,3.14,3.14,3.69,3.69,0.0
167,3.14,3.14,3.69,3.69,0.0
168,3.14,3.14,3.69,3.69,0.0
169,2.13,2.13,3.18,3.18,0.0
170,2.13,2.13,3.18,3.18,0.0
171,2.13,2.13,3.18,3.18,0.0
172,2.13,2.13,3.18,3.18,0.0
173,2.13,2.13,3.18,3.18,0.0
174,2.13,2.13,3.18,3.18,0.0
175,2.13,2.13,3.18,3.18,0.0
176,2.13,2.13,3.18,3.18,0.0
177,2.13,2.13,3.18,3.18,0.0
178,2.13,2.13,3.18,3.18,0.0
179,2.13,2.13,3.18,3.18,0.0
180,2.13,2.13,3.18,3.18,0.0
181,2.13,2.13,3.18,3.18,0.0
182,2.13,2.13,3.18,3.18,0.0
183,2.13,2.13,3.18,3.18,0.0
184,2.13,2.13,3.18,3.18,0.0
185,2.13,2.13,3.18,3.18,0.0
186,2.13,2.13,3.18,3.18,0.0
187,2.13,2.13,3.18,3.18,0.0
188,2.13,2.13,3.18,3.18,0.0
189,2.13,2.13,3.18,3.18,0.0
190,2.13,2.13,3.18,3.18,0.0
191,2.13,2.13,3.18,3.18,0.0
192,2.13,2.13,3.18,3.18,0.0
193,2.13,2.13,3.18,3.18,0.0
194,2.13,2.13,3.18,3.18,0.0
195,2.13,2.13,3.18,3.18,0.0
196,2.13,2.13,3.18,3.18,0.0
197,2.13,2.13,3.18,3.18,0.0
198,2.13,2.13,3.18,3.18,0.0
199,2.13,2.13,3.18,3.18,0.0
200,2.13,2.13,3.18,3.18,0.0
201,2.13,2.13,3.18,3.18,0.0
202,2.13,2.13,3.18,3.18,0.0
203,2.13,2.13,3.18,3.18,0.0
204,2.13,2.13,3.18,3.18,0.0
205,2.13,2.13,3.18,3.18,0.0
206,2.13,2.13,3.18,3.18,0.0
207,2.13,2.13,3.18,3.18,0.0
208,2.13,2.13,3.18,3.18,0.0
209,2.13,2.13,3.18,3.18,0.0
210,2.13,2.13,3.18,3.18,0.0
211,2.13,2.13,3.18,3.18,0.0
212,2.13,2.13,3.18,3.18,0.0
213,2.13,2.13,3.18,3.18,0.0
214,2.13,2.13,3.18,3.18,0.0
215,2.13,2.13,3.18,3.18,0.0
216,2.13,2.13,3.18,3.18,0.0
217,2.13,2.13,3.18,3.18,0.0
218,2.13,2.13,3.18,3.18,0.0
219,2.13,2.13,3.18,3.18,0.0
220,2.13,2.13,3.18,3.18,0.0
221,2.13,2.13,3.18,3.18,0.0
222,2.13,2.13,3.18,3.18,0.0
223,2.13,2.13,3.18,3.18,0.0
224,2.13,2.13,3.18,3.18,0.0
225,2.13,2.13,3.18,3.18,0.0
226,2.13,2.13,3.18,3.18,0.0
227,2.13,2.13,3.18,3.18,0.0
228,2.13,2.13,3.18,3.18,0.0
229,2.13,2.13,3.18,3.18,0.0
230,2.13,2.13,3.18,3.18,0.0
231,2.13,2.13,3.18,3.18,0.0
232,2.13,2.13,3.18,3.18,0.0
233,2.13,2.13,3.18,3.18,0.0
234,2.13,2.13,3.18,3.18,0.0
235,2.13,2.13,3.18,3.18,0.0
236,2.13,2.13,3.18,3.18,0.0
237,2.13,2.13,3.18,3.18,0.0
238,2.13,2.13,3.18,3.18,0.0
239,2.13,2.13,3.18,3.18,0.0
240,2.13,2.13,3.18,3.18,0.0
241,2.13,2.13,3.18,3.18,0.0
242,2.13,2.13,3.18,3.18,0.0
243,2.13,2.13,3.18,3.18,0.0
244,2.13,2.13,3.18,3.18,0.0
245,2.13,2.13,3.18,3.18,0.0
246,2.13,2.13,3.18,3.18,0.0
247,2.13,2.13,3.18,3.18,0.0
248,2.13,2.13,3.18,3.18,0.0
249,2.13,2.13,3.18,3.18,0.0
250,2.13,2.13,3.18,3.18,0.0
251,2.13,2.13,3.18,3.18,0.0
252,2.13,2.13,3.18,3.18,0.0
253,2.13,2.13,3.18,3.18,0.0
254,2.13,2.13,3.18,3.18,0.0
255,2.13,2.13,3.18,3.18,0.0
256,2.13,2.13,3.18,3.18,0.0
257,2.13,2.13,3.18,3.18,0.0
258,2.13,2.13,3.18,3.18,0.0
259,2.13,2.13,3.18,3.18,0.0
260,2.13,2.13,3.18,3.18,0.0
261,2.13,2.13,3.18,3.18,0.0
262,2.13,2.13,3.18,3.18,0.0
263,2.13,2.13,3.18,3.18,0.0
264,2.13,2.13,3.18,3.18,0.0
265,2.13,2.13,3.18,3.18,0.0
266,2.13,2.13,3.18,3.18,0.0
267,2.13,2.13,3.18,3.18,0.0
268,2.13,2.13,3.18,3.18,0.0
269,2.13,2.13,3.18,3.18,0.0
270,2.13,2.13,3.18,3.18,0.0
271,2.13,2.13,3.18,3.18,0.0
272,2.13,2.13,3.18,3.18,0.0
273,2.13,2.13,3.18,3.18,0.0
274,2.13,2.13,3.18,3.18,0.0
275,2.13,2.13,3.18,3.18,0.0
276,2.13,2.13,3.18,3.18,0.0
277,2.13,2.13,3.18,3.18,0.0
278,2.13,2.13,3.18,3.18,0.0
279,2.13,2.13,3.18,3.18,0.0
280,2.13,2.13,3.18,3.18,0.0
281,2.13,2.13,3.18,3.18,0.0
282,2.13,2.13,3.18,3.18,0.0
283,2.13,2.13,3.18,3.18,0.0
284,2.13,2.13,3.18,3.18,0.0
285,2.13,2.13,3.18,3.18,0.0
286,2.13,2.13,3.18,3.18,0.0
287,2.13,2.13,3.18,3.18,0.0
288,2.13,2.13,3.18,3.18,0.0
289,2.13,2.13,3.18,3.18,0.0
290,2.13,2.13,3.18,3.18,0.0
291,2.13,2.13,3.18,3.18,0.0
292,2.13,2.13,3.18,3.18,0.0
293,2.13,2.13,3.18,3.18,0.0
294,2.13,2.13,3.18,3.18,0.0
295,2.13,2.13,3.18,3.18,0.0
296,2.13,2.13,3.18,3.18,0.0
297,2.13,2.13,3.18,3.18,0.0
298,2.13,2.13,3.18,3.18,0.0
299,2.13,2.13,3.18,3.18,0.0
300,2.13,2.13,3.18,3.18,0.0
301,2.13,2.13,3.18,3.18,0.0
302,2.13,2.13,3.18,3.18,0.0
303,2.13,2.13,3.18,3.18,0.0
304,2.13,2.13,3.18,3.18,0.0
305,2.13,2.13,3.18,3.18,0.0
306,2.13,2.13,3.18,3.18,0.0
307,2.13,2.13,3.18,3.18,0.0
308,2.13,2.13,3.18,3.18,0.0
309,2.13,2.13,3.18,3.18,0.0
310,2.13,2.13,3.18,3.18,0.0
311,2.13,2.13,3.18,3.18,0.0
312,2.13,2.13,3.18,3.18,0.0
313,2.13,2.13,3.18,3.18,0.0
314,2.13,2.13,3.18,3.18,0.0
315,2.13,2.13,3.18,3.18,0.0
316,2.13,2.13,3.18,3.18,0.0
317,2.13,2.13,3.18,3.18,0.0
318,2.13,2.13,3.18,3.18,0.0
319,2.13,2.13,3.18,3.18,0.0
320,2.13,2.13,3.18,3.18,0.0
321,2.13,2.13,3.18,3.18,0.0
322,2.13,2.13,3.18,3.18,0.0
323,2.13,2.13,3.18,3.18,0.0
324,2.13,2.13,3.18,3.18,0.0
325,2.13,2.13,3.18,3.18,0.0
326,2.13,2.13,3.18,3.18,0.0
327,2.13,2.13,3.18,3.18,0.0
328,2.13,2.13,3.18,3.18,0.0
329,2.13,2.13,3.18,3.18,0.0
330,2.13,2.13,3.18,3.18,0.0
331,2.13,2.13,3.18,3.18,0.0
332,2.13,2.13,3.18,3.18,0.0
333,2.13,2.13,3.18,3.18,0.0
334,2.13,2.13,3.18,3.18,0.0
335,2.13,2.13,3.18,3.18,0.0
336,2.13,2.13,3.18,3.18,0.0
337,5.45,5.45,5.28,5.28,0.0
338,5.45,5.45,5.28,5.28,0.0
339,5.45,5.45,5.28,5.28,0.0
340,5.45,5.45,5.28,5.28,0.0
341,5.45,5.45,5.28,5.28,0.0
342,5.45,5.45,5.28,5.28,0.0
343,5.45,5.45,5.28,5.28,0.0
344,5.45,5.45,5.28,5.28,0.0
345,5.45,5.45,5.28,5.28,0.0
346,5.45,5.45,5.28,5.28,0.0
347,5.45,5.45,5.28,5.28,0.0
348,5.45,5.45,5.28,5.28,0.0
349,5.45,5.45,5.28,5.28,0.0
350,5.45,5.45,5.28,5.28,0.0
351,5.45,5.45,5.28,5.28,0.0
352,5.45,5.45,5.28,5.28,0.0
353,5.45,5.45,5.28,5.28,0.0
354,5.45,5.45,5.28,5.28,0.0
355,5.45,5.45,5.28,5.28,0.0
356,5.45,5.45,5.28,5.28,0.0
357,5.45,5.45,5.28,5.28,0.0
358,5.45,5.45,5.28,5.28,0.0
359,5.45,5.45,5.28,5.28,0.0
360,5.45,5.45,5.28,5.28,0.0
361,5.45,5.45,5.28,5.28,0.0
362,5.45,5.45,5.28,5.28,0.0
363,5.45,5.45,5.28,5.28,0.0
364,5.45,5.45,5.28,5.28,0.0
365,5.45,5.45,5.28,5.28,0.0
366,5.45,5.45,5.28,5.28,0.0
367,5.45,5.45,5.28,5.28,0.0
368,5.45,5.45,5.28,5.28,0.0
369,5.45,5.45,5.28,5.28,0.0
370,5.45,5.45,5.28,5.28,0.0
371,5.45,5.45,5.28,5.28,0.0
372,5.45,5.45,5.28,5.28,0.0
373,5.45,5.45,5.28,5.28,0.0
374,5.45,5.45,5.28,5.28,0.0
375,5.45,5.45,5.28,5.28,0.0
376,5.45,5.45,5.28,5.28,0.0
377,5.45,5.45,5.28,5.28,0.0
