Time_Index,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
15,1.0,1.0,0.019248929,0.6173,1.0,0.019248929,0.6523,1.0,0.152063802,0.6173,1.0,1.0,1.0
16,1.0,1.0,0.119166195,0.4965,1.0,0.119166195,0.546,1.0,0.258123368,0.4965,1.0,1.0,1.0
17,1.0,1.0,0.274659663,0.3363,1.0,0.274659663,0.3826,1.0,0.426247716,0.3363,1.0,1.0,1.0
18,1.0,1.0,0.392801732,0.1242,1.0,0.392801732,0.1625,1.0,0.560484052,0.1242,1.0,1.0,1.0
19,1.0,1.0,0.536450446,0.0,1.0,0.536450446,0.0,1.0,0.601749539,0.0,1.0,1.0,1.0
20,1.0,1.0,0.939421058,0.0,1.0,0.939421058,0.0,1.0,0.709239244,0.0,1.0,1.0,1.0
21,1.0,1.0,0.438982993,0.0,1.0,0.438982993,0.0,1.0,0.753030419,0.0,1.0,1.0,1.0
22,1.0,1.0,0.353878379,0.0,1.0,0.353878379,0.0,1.0,0.699030638,0.0,1.0,1.0,1.0
23,1.0,1.0,0.556829035,0.0,1.0,0.556829035,0.0,1.0,0.5368644,0.0,1.0,1.0,1.0
24,1.0,1.0,0.65021956,0.0,1.0,0.65021956,0.0,1.0,0.578089058,0.0,1.0,1.0,1.0
25,1.0,1.0,0.622024417,0.0,1.0,0.622024417,0.0,1.0,0.555813074,0.0,1.0,1.0,1.0
26,1.0,1.0,0.764623284,0.0,1.0,0.764623284,0.0,1.0,0.538930714,0.0,1.0,1.0,1.0
27,1.0,1.0,0.715029895,0.0,1.0,0.715029895,0.0,1.0,0.462965727,0.0,1.0,1.0,1.0
28,1.0,1.0,0.372809708,0.0,1.0,0.372809708,0.0,1.0,0.360287905,0.0,1.0,1.0,1.0
29,1.0,1.0,0.113940589,0.0,1.0,0.113940589,0.0,1.0,0.488380849,0.0,1.0,1.0,1.0
30,1.0,1.0,0.056374628,0.0,1.0,0.056374628,0.0,1.0,0.599999964,0.0,1.0,1.0,1.0
31,1.0,1.0,0.016238747,0.0,1.0,0.016238747,0.0,1.0,0.561654091,0.0,1.0,1.0,1.0
32,1.0,1.0,0.333949357,0.1809,1.0,0.333949357,0.1937,1.0,0.482259929,0.1809,1.0,1.0,1.0
33,1.0,1.0,0.144480377,0.3869,1.0,0.144480377,0.4011,1.0,0.261952311,0.3869,1.0,1.0,1.0
34,1.0,1.0,2.18e-5,0.5486,1.0,2.18e-5,0.5435,1.0,0.171321541,0.5486,1.0,1.0,1.0
35,1.0,1.0,0.000401923,0.673,1.0,0.000401923,0.6766,1.0,0.103632301,0.673,1.0,1.0,1.0
36,1.0,1.0,0.009390152,0.688,1.0,0.009390152,0.6954,1.0,0.086341038,0.688,1.0,1.0,1.0
37,1.0,1.0,0.15701367,0.6933,1.0,0.15701367,0.698,1.0,0.134537384,0.6933,1.0,1.0,1.0
38,1.0,1.0,0.406255186,0.6864,1.0,0.406255186,0.6964,1.0,0.17796576,0.6864,1.0,1.0,1.0
39,1.0,1.0,0.417066693,0.65,1.0,0.417066693,0.6672,1.0,0.189786106,0.65,1.0,1.0,1.0
40,1.0,1.0,0.336111903,0.5134,1.0,0.336111903,0.5446,1.0,0.208149701,0.5134,1.0,1.0,1.0
41,1.0,1.0,0.290232033,0.3401,1.0,0.290232033,0.3849,1.0,0.401330531,0.3401,1.0,1.0,1.0
42,1.0,1.0,0.256617188,0.123,1.0,0.256617188,0.17,1.0,0.471578002,0.123,1.0,1.0,1.0
43,1.0,1.0,0.407308728,0.0,1.0,0.407308728,0.0,1.0,0.758596778,0.0,1.0,1.0,1.0
44,1.0,1.0,0.214790255,0.0,1.0,0.214790255,0.0,1.0,0.877489209,0.0,1.0,1.0,1.0
45,1.0,1.0,0.390825689,0.0,1.0,0.390825689,0.0,1.0,0.815006971,0.0,1.0,1.0,1.0
46,1.0,1.0,0.471649319,0.0,1.0,0.471649319,0.0,1.0,0.755335033,0.0,1.0,1.0,1.0
47,1.0,1.0,0.307960331,0.0,1.0,0.307960331,0.0,1.0,0.65353626,0.0,1.0,1.0,1.0
48,1.0,1.0,0.340681136,0.0,1.0,0.340681136,0.0,1.0,0.605977595,0.0,1.0,1.0,1.0
49,1.0,1.0,0.290637463,0.0,1.0,0.290637463,0.0,1.0,0.56266588,0.0,1.0,1.0,1.0
50,1.0,1.0,0.219434485,0.0,1.0,0.219434485,0.0,1.0,0.582483292,0.0,1.0,1.0,1.0
51,1.0,1.0,0.292016774,0.0,1.0,0.292016774,0.0,1.0,0.645784974,0.0,1.0,1.0,1.0
52,1.0,1.0,0.488625586,0.0,1.0,0.488625586,0.0,1.0,0.775624633,0.0,1.0,1.0,1.0
53,1.0,1.0,0.340097755,0.0,1.0,0.340097755,0.0,1.0,0.69383806,0.0,1.0,1.0,1.0
54,1.0,1.0,0.235136852,0.0,1.0,0.235136852,0.0,1.0,0.752719223,0.0,1.0,1.0,1.0
55,1.0,1.0,0.588210523,0.0004,1.0,0.588210523,0.0,1.0,0.862523913,0.0004,1.0,1.0,1.0
56,1.0,1.0,0.332647651,0.1559,1.0,0.332647651,0.1358,1.0,0.737461805,0.1559,1.0,1.0,1.0
57,1.0,1.0,0.093162946,0.3681,1.0,0.093162946,0.3612,1.0,0.54701364,0.3681,1.0,1.0,1.0
58,1.0,1.0,0.001849365,0.5112,1.0,0.001849365,0.4843,1.0,0.360572845,0.5112,1.0,1.0,1.0
59,1.0,1.0,0.0,0.7546,1.0,0.0,0.723,1.0,0.313053399,0.7546,1.0,1.0,1.0
60,1.0,1.0,0.0,0.6648,1.0,0.0,0.6153,1.0,0.266081452,0.6648,1.0,1.0,1.0
61,1.0,1.0,0.000464521,0.6766,1.0,0.000464521,0.642,1.0,0.223596364,0.6766,1.0,1.0,1.0
62,1.0,1.0,0.103742942,0.6849,1.0,0.103742942,0.6483,1.0,0.218776628,0.6849,1.0,1.0,1.0
63,1.0,1.0,0.370955497,0.6482,1.0,0.370955497,0.6173,1.0,0.203460976,0.6482,1.0,1.0,1.0
64,1.0,1.0,0.341479361,0.5121,1.0,0.341479361,0.5187,1.0,0.224217921,0.5121,1.0,1.0,1.0
65,1.0,1.0,0.444000244,0.3377,1.0,0.444000244,0.3615,1.0,0.330130666,0.3377,1.0,1.0,1.0
66,1.0,1.0,0.292105019,0.1213,1.0,0.292105019,0.1552,1.0,0.519130349,0.1213,1.0,1.0,1.0
67,1.0,1.0,0.224894032,0.0,1.0,0.224894032,0.0,1.0,0.726869047,0.0,1.0,1.0,1.0
68,1.0,1.0,0.31001246,0.0,1.0,0.31001246,0.0,1.0,0.743680954,0.0,1.0,1.0,1.0
69,1.0,1.0,0.206186026,0.0,1.0,0.206186026,0.0,1.0,0.728035569,0.0,1.0,1.0,1.0
70,1.0,1.0,0.352164268,0.0,1.0,0.352164268,0.0,1.0,0.608524561,0.0,1.0,1.0,1.0
71,1.0,1.0,0.416088998,0.0,1.0,0.416088998,0.0,1.0,0.492403865,0.0,1.0,1.0,1.0
72,1.0,1.0,0.530061185,0.0,1.0,0.530061185,0.0,1.0,0.513981462,0.0,1.0,1.0,1.0
73,1.0,1.0,0.507622302,0.0,1.0,0.507622302,0.0,1.0,0.533729076,0.0,1.0,1.0,1.0
74,1.0,1.0,0.678049803,0.0,1.0,0.678049803,0.0,1.0,0.674548864,0.0,1.0,1.0,1.0
75,1.0,1.0,0.010443158,0.0,1.0,0.010443158,0.0,1.0,0.062698871,0.0,1.0,1.0,1.0
76,1.0,1.0,0.427970886,0.0,1.0,0.427970886,0.0,1.0,0.841359735,0.0,1.0,1.0,1.0
77,1.0,1.0,0.334010154,0.0,1.0,0.334010154,0.0,1.0,0.914813161,0.0,1.0,1.0,1.0
78,1.0,1.0,0.451444775,0.0,1.0,0.451444775,0.0,1.0,0.974680662,0.0,1.0,1.0,1.0
79,1.0,1.0,0.351748496,0.0008,1.0,0.351748496,0.0,1.0,0.978852689,0.0008,1.0,1.0,1.0
80,1.0,1.0,0.381634384,0.1746,1.0,0.381634384,0.157,1.0,0.922392011,0.1746,1.0,1.0,1.0
81,1.0,1.0,0.204491615,0.3796,1.0,0.204491615,0.3642,1.0,0.839634836,0.3796,1.0,1.0,1.0
82,1.0,1.0,0.022155629,0.555,1.0,0.022155629,0.5463,1.0,0.690602899,0.555,1.0,1.0,1.0
83,1.0,1.0,0.087142006,0.6824,1.0,0.087142006,0.6775,1.0,0.606630445,0.6824,1.0,1.0,1.0
84,1.0,1.0,0.034761738,0.6979,1.0,0.034761738,0.6949,1.0,0.617718577,0.6979,1.0,1.0,1.0
85,1.0,1.0,0.114951245,0.6999,1.0,0.114951245,0.6981,1.0,0.573944688,0.6999,1.0,1.0,1.0
86,1.0,1.0,0.093523912,0.6953,1.0,0.093523912,0.6977,1.0,0.547802687,0.6953,1.0,1.0,1.0
87,1.0,1.0,0.116833173,0.6556,1.0,0.116833173,0.6681,1.0,0.769956887,0.6556,1.0,1.0,1.0
88,1.0,1.0,0.247117937,0.5221,1.0,0.247117937,0.5478,1.0,0.80558908,0.5221,1.0,1.0,1.0
89,1.0,1.0,0.302383065,0.3484,1.0,0.302383065,0.3858,1.0,0.87547338,0.3484,1.0,1.0,1.0
90,1.0,1.0,0.435858846,0.1274,1.0,0.435858846,0.1707,1.0,0.963667393,0.1274,1.0,1.0,1.0
91,1.0,1.0,0.296017647,0.0,1.0,0.296017647,0.0,1.0,0.995695174,0.0,1.0,1.0,1.0
92,1.0,1.0,0.382669896,0.0,1.0,0.382669896,0.0,1.0,0.942333877,0.0,1.0,1.0,1.0
93,1.0,1.0,0.432901084,0.0,1.0,0.432901084,0.0,1.0,0.954547882,0.0,1.0,1.0,1.0
94,1.0,1.0,0.662971437,0.0,1.0,0.662971437,0.0,1.0,0.963854551,0.0,1.0,1.0,1.0
95,1.0,1.0,0.961305439,0.0,1.0,0.961305439,0.0,1.0,0.918889642,0.0,1.0,1.0,1.0
96,1.0,1.0,0.951534867,0.0,1.0,0.951534867,0.0,1.0,0.831322074,0.0,1.0,1.0,1.0
97,1.0,1.0,0.68373543,0.0,1.0,0.68373543,0.0,1.0,0.881467462,0.0,1.0,1.0,1.0
98,1.0,1.0,0.600812972,0.0,1.0,0.600812972,0.0,1.0,0.858075261,0.0,1.0,1.0,1.0
99,1.0,1.0,0.814034224,0.0,1.0,0.814034224,0.0,1.0,0.935281634,0.0,1.0,1.0,1.0
100,1.0,1.0,0.911757529,0.0,1.0,0.911757529,0.0,1.0,0.955151796,0.0,1.0,1.0,1.0
101,1.0,1.0,0.600341201,0.0,1.0,0.600341201,0.0,1.0,0.945564926,0.0,1.0,1.0,1.0
102,1.0,1.0,0.718456745,0.0,1.0,0.718456745,0.0,1.0,0.966163337,0.0,1.0,1.0,1.0
103,1.0,1.0,0.47460106,0.0,1.0,0.47460106,0.0,1.0,0.964919329,0.0,1.0,1.0,1.0
104,1.0,1.0,0.611973166,0.1287,1.0,0.611973166,0.1307,1.0,0.897765279,0.1287,1.0,1.0,1.0
105,1.0,1.0,0.462337017,0.2969,1.0,0.462337017,0.3218,1.0,0.894047737,0.2969,1.0,1.0,1.0
106,1.0,1.0,0.286065727,0.4366,1.0,0.286065727,0.4241,1.0,0.956014991,0.4366,1.0,1.0,1.0
107,1.0,1.0,0.410449386,0.5574,1.0,0.410449386,0.4843,1.0,0.987810135,0.5574,1.0,1.0,1.0
108,1.0,1.0,0.18657057,0.6471,1.0,0.18657057,0.5087,1.0,0.994437337,0.6471,1.0,1.0,1.0
109,1.0,1.0,0.044284698,0.6988,1.0,0.044284698,0.6118,1.0,0.996686101,0.6988,1.0,1.0,1.0
110,1.0,1.0,0.004641407,0.7057,1.0,0.004641407,0.6588,1.0,0.995325267,0.7057,1.0,1.0,1.0
111,1.0,1.0,0.010756869,0.6681,1.0,0.010756869,0.6495,1.0,0.998466611,0.6681,1.0,1.0,1.0
112,1.0,1.0,0.062138144,0.5204,1.0,0.062138144,0.4946,1.0,0.99398303,0.5204,1.0,1.0,1.0
113,1.0,1.0,0.268422604,0.3357,1.0,0.268422604,0.3379,1.0,0.999444008,0.3357,1.0,1.0,1.0
114,1.0,1.0,0.549905419,0.1217,1.0,0.549905419,0.1415,1.0,0.999931455,0.1217,1.0,1.0,1.0
115,1.0,1.0,0.59516722,0.0,1.0,0.59516722,0.0,1.0,0.999659896,0.0,1.0,1.0,1.0
116,1.0,1.0,0.463209748,0.0,1.0,0.463209748,0.0,1.0,0.966383457,0.0,1.0,1.0,1.0
117,1.0,1.0,0.327129066,0.0,1.0,0.327129066,0.0,1.0,0.997240305,0.0,1.0,1.0,1.0
118,1.0,1.0,0.395001531,0.0,1.0,0.395001531,0.0,1.0,0.944750071,0.0,1.0,1.0,1.0
119,1.0,1.0,0.458472908,0.0,1.0,0.458472908,0.0,1.0,0.916571379,0.0,1.0,1.0,1.0
120,1.0,1.0,0.448081851,0.0,1.0,0.448081851,0.0,1.0,0.854930699,0.0,1.0,1.0,1.0
121,1.0,1.0,0.686663628,0.0,1.0,0.686663628,0.0,1.0,0.823605299,0.0,1.0,1.0,1.0
122,1.0,1.0,0.94721055,0.0,1.0,0.94721055,0.0,1.0,0.599495888,0.0,1.0,1.0,1.0
123,1.0,1.0,0.968070626,0.0,1.0,0.968070626,0.0,1.0,0.448240101,0.0,1.0,1.0,1.0
124,1.0,1.0,0.751041591,0.0,1.0,0.751041591,0.0,1.0,0.363844037,0.0,1.0,1.0,1.0
125,1.0,1.0,0.725488186,0.0,1.0,0.725488186,0.0,1.0,0.316084772,0.0,1.0,1.0,1.0
126,1.0,1.0,0.857096016,0.0,1.0,0.857096016,0.0,1.0,0.199303448,0.0,1.0,1.0,1.0
127,1.0,1.0,0.570255101,0.0,1.0,0.570255101,0.0,1.0,0.130830407,0.0,1.0,1.0,1.0
128,1.0,1.0,0.35289073,0.1681,1.0,0.35289073,0.2003,1.0,0.043213755,0.1681,1.0,1.0,1.0
129,1.0,1.0,0.291729033,0.3275,1.0,0.291729033,0.3963,1.0,0.095006242,0.3275,1.0,1.0,1.0
130,1.0,1.0,0.255962312,0.47,1.0,0.255962312,0.4968,1.0,0.191337913,0.47,1.0,1.0,1.0
131,1.0,1.0,0.155585855,0.4264,1.0,0.155585855,0.4553,1.0,0.145866185,0.4264,1.0,1.0,1.0
132,1.0,1.0,0.157079071,0.4459,1.0,0.157079071,0.4639,1.0,0.17013973,0.4459,1.0,1.0,1.0
133,1.0,1.0,0.132549644,0.4834,1.0,0.132549644,0.4762,1.0,0.067343056,0.4834,1.0,1.0,1.0
134,1.0,1.0,0.238282189,0.6303,1.0,0.238282189,0.6118,1.0,0.06855081,0.6303,1.0,1.0,1.0
135,1.0,1.0,0.239939079,0.3922,1.0,0.239939079,0.4236,1.0,0.056210428,0.3922,1.0,1.0,1.0
136,1.0,1.0,0.271274298,0.3528,1.0,0.271274298,0.2969,1.0,0.087241471,0.3528,1.0,1.0,1.0
137,1.0,1.0,0.236726984,0.2192,1.0,0.236726984,0.2024,1.0,0.109862432,0.2192,1.0,1.0,1.0
138,1.0,1.0,0.160334155,0.0833,1.0,0.160334155,0.0789,1.0,0.181660235,0.0833,1.0,1.0,1.0
139,1.0,1.0,0.292999268,0.0,1.0,0.292999268,0.0,1.0,0.27242738,0.0,1.0,1.0,1.0
140,1.0,1.0,0.401110888,0.0,1.0,0.401110888,0.0,1.0,0.286082685,0.0,1.0,1.0,1.0
141,1.0,1.0,0.149256185,0.0,1.0,0.149256185,0.0,1.0,0.269473583,0.0,1.0,1.0,1.0
142,1.0,1.0,0.163049132,0.0,1.0,0.163049132,0.0,1.0,0.340033472,0.0,1.0,1.0,1.0
143,1.0,1.0,0.166977257,0.0,1.0,0.166977257,0.0,1.0,0.344270676,0.0,1.0,1.0,1.0
144,1.0,1.0,0.205250561,0.0,1.0,0.205250561,0.0,1.0,0.205188617,0.0,1.0,1.0,1.0
145,1.0,1.0,0.307979465,0.0,1.0,0.307979465,0.0,1.0,0.204994872,0.0,1.0,1.0,1.0
146,1.0,1.0,0.422584713,0.0,1.0,0.422584713,0.0,1.0,0.256006956,0.0,1.0,1.0,1.0
147,1.0,1.0,0.406198055,0.0,1.0,0.406198055,0.0,1.0,0.247988999,0.0,1.0,1.0,1.0
148,1.0,1.0,0.361611843,0.0,1.0,0.361611843,0.0,1.0,0.211419225,0.0,1.0,1.0,1.0
149,1.0,1.0,0.24808161,0.0,1.0,0.24808161,0.0,1.0,0.200011283,0.0,1.0,1.0,1.0
150,1.0,1.0,0.122475065,0.0,1.0,0.122475065,0.0,1.0,0.178104073,0.0,1.0,1.0,1.0
151,1.0,1.0,0.061104923,0.0,1.0,0.061104923,0.0,1.0,0.129664958,0.0,1.0,1.0,1.0
152,1.0,1.0,0.001909042,0.0483,1.0,0.001909042,0.0107,1.0,0.224155784,0.0483,1.0,1.0,1.0
153,1.0,1.0,0.030662451,0.1379,1.0,0.030662451,0.1244,1.0,0.195972994,0.1379,1.0,1.0,1.0
154,1.0,1.0,0.035824325,0.2279,1.0,0.035824325,0.1986,1.0,0.191820532,0.2279,1.0,1.0,1.0
155,1.0,1.0,0.026189856,0.2641,1.0,0.026189856,0.2571,1.0,0.244714767,0.2641,1.0,1.0,1.0
156,1.0,1.0,0.000577044,0.2979,1.0,0.000577044,0.3222,1.0,0.256400168,0.2979,1.0,1.0,1.0
157,1.0,1.0,0.000226538,0.3468,1.0,0.000226538,0.3903,1.0,0.260348976,0.3468,1.0,1.0,1.0
158,1.0,1.0,0.003640169,0.3644,1.0,0.003640169,0.4114,1.0,0.264438897,0.3644,1.0,1.0,1.0
159,1.0,1.0,0.009475692,0.3465,1.0,0.009475692,0.4116,1.0,0.303551227,0.3465,1.0,1.0,1.0
160,1.0,1.0,0.039171852,0.324,1.0,0.039171852,0.3266,1.0,0.221615791,0.324,1.0,1.0,1.0
161,1.0,1.0,0.049333788,0.2125,1.0,0.049333788,0.2253,1.0,0.249633402,0.2125,1.0,1.0,1.0
162,1.0,1.0,0.006074722,0.0673,1.0,0.006074722,0.0732,1.0,0.26829651,0.0673,1.0,1.0,1.0
163,1.0,1.0,0.0032244,0.0,1.0,0.0032244,0.0,1.0,0.258434594,0.0,1.0,1.0,1.0
164,1.0,1.0,0.03518948,0.0,1.0,0.03518948,0.0,1.0,0.27804935,0.0,1.0,1.0,1.0
165,1.0,1.0,0.186126143,0.0,1.0,0.186126143,0.0,1.0,0.306461513,0.0,1.0,1.0,1.0
166,1.0,1.0,0.45455578,0.0,1.0,0.45455578,0.0,1.0,0.285110682,0.0,1.0,1.0,1.0
167,1.0,1.0,0.378552973,0.0,1.0,0.378552973,0.0,1.0,0.393156409,0.0,1.0,1.0,1.0
168,1.0,1.0,0.702663004,0.0,1.0,0.702663004,0.0,1.0,0.476771116,0.0,1.0,1.0,1.0
169,1.0,1.0,0.670275927,0.0,1.0,0.670275927,0.0,1.0,0.463066339,0.0,1.0,1.0,1.0
170,1.0,1.0,0.791637063,0.0,1.0,0.791637063,0.0,1.0,0.537189543,0.0,1.0,1.0,1.0
171,1.0,1.0,0.850343347,0.0,1.0,0.850343347,0.0,1.0,0.577177286,0.0,1.0,1.0,1.0
172,1.0,1.0,0.830768526,0.0,1.0,0.830768526,0.0,1.0,0.47861889,0.0,1.0,1.0,1.0
173,1.0,1.0,0.83575666,0.0,1.0,0.83575666,0.0,1.0,0.53229326,0.0,1.0,1.0,1.0
174,1.0,1.0,0.720085979,0.0,1.0,0.720085979,0.0,1.0,0.62505722,0.0,1.0,1.0,1.0
175,1.0,1.0,0.254879028,0.0551,1.0,0.254879028,0.0809,1.0,0.544284105,0.0551,1.0,1.0,1.0
176,1.0,1.0,0.188441843,0.2308,1.0,0.188441843,0.2562,1.0,0.43602246,0.2308,1.0,1.0,1.0
177,1.0,1.0,0.006096345,0.4115,1.0,0.006096345,0.4358,1.0,0.264100283,0.4115,1.0,1.0,1.0
178,1.0,1.0,0.002578969,0.5502,1.0,0.002578969,0.5661,1.0,0.226219833,0.5502,1.0,1.0,1.0
179,1.0,1.0,0.028644908,0.6653,1.0,0.028644908,0.6522,1.0,0.40397507,0.6653,1.0,1.0,1.0
180,1.0,1.0,0.275457084,0.6636,1.0,0.275457084,0.6494,1.0,0.63357091,0.6636,1.0,1.0,1.0
181,1.0,1.0,0.502558708,0.6573,1.0,0.502558708,0.6072,1.0,0.848846376,0.6573,1.0,1.0,1.0
182,1.0,1.0,0.360116273,0.6282,1.0,0.360116273,0.5521,1.0,0.941271544,0.6282,1.0,1.0,1.0
183,1.0,1.0,0.600508273,0.5712,1.0,0.600508273,0.5665,1.0,0.905256033,0.5712,1.0,1.0,1.0
184,1.0,1.0,0.835470736,0.4475,1.0,0.835470736,0.5059,1.0,0.905872762,0.4475,1.0,1.0,1.0
185,1.0,1.0,0.994439244,0.3088,1.0,0.994439244,0.3336,1.0,0.938071132,0.3088,1.0,1.0,1.0
186,1.0,1.0,0.899679601,0.1392,1.0,0.899679601,0.1808,1.0,0.924881101,0.1392,1.0,1.0,1.0
187,1.0,1.0,0.816437781,0.0306,1.0,0.816437781,0.0559,1.0,0.930782199,0.0306,1.0,1.0,1.0
188,1.0,1.0,0.434419274,0.0,1.0,0.434419274,0.0,1.0,0.981320381,0.0,1.0,1.0,1.0
189,1.0,1.0,0.432913303,0.0,1.0,0.432913303,0.0,1.0,0.949090958,0.0,1.0,1.0,1.0
190,1.0,1.0,0.796223938,0.0,1.0,0.796223938,0.0,1.0,0.904409111,0.0,1.0,1.0,1.0
191,1.0,1.0,0.666432261,0.0,1.0,0.666432261,0.0,1.0,0.878076553,0.0,1.0,1.0,1.0
192,1.0,1.0,0.816844404,0.0,1.0,0.816844404,0.0,1.0,0.886024654,0.0,1.0,1.0,1.0
193,1.0,1.0,0.847556829,0.0,1.0,0.847556829,0.0,1.0,0.906855583,0.0,1.0,1.0,1.0
194,1.0,1.0,0.893950105,0.0,1.0,0.893950105,0.0,1.0,0.889461875,0.0,1.0,1.0,1.0
195,1.0,1.0,0.899584472,0.0,1.0,0.899584472,0.0,1.0,0.897235036,0.0,1.0,1.0,1.0
196,1.0,1.0,0.877247691,0.0,1.0,0.877247691,0.0,1.0,0.907476962,0.0,1.0,1.0,1.0
197,1.0,1.0,0.952719688,0.0,1.0,0.952719688,0.0,1.0,0.814849138,0.0,1.0,1.0,1.0
198,1.0,1.0,0.960523844,0.0,1.0,0.960523844,0.0,1.0,0.747924209,0.0,1.0,1.0,1.0
199,1.0,1.0,0.975111306,0.0631,1.0,0.975111306,0.0853,1.0,0.718400896,0.0631,1.0,1.0,1.0
200,1.0,1.0,0.999808609,0.2384,1.0,0.999808609,0.2625,1.0,0.722193003,0.2384,1.0,1.0,1.0
201,1.0,1.0,1.0,0.4278,1.0,1.0,0.4547,1.0,0.517734885,0.4278,1.0,1.0,1.0
202,1.0,1.0,1.0,0.5697,1.0,1.0,0.599,1.0,0.440654993,0.5697,1.0,1.0,1.0
203,1.0,1.0,0.996867299,0.6876,1.0,0.996867299,0.7096,1.0,0.47235918,0.6876,1.0,1.0,1.0
204,1.0,1.0,0.957846105,0.6993,1.0,0.957846105,0.7198,1.0,0.474067867,0.6993,1.0,1.0,1.0
205,1.0,1.0,0.907826662,0.6955,1.0,0.907826662,0.6991,1.0,0.543230414,0.6955,1.0,1.0,1.0
206,1.0,1.0,0.918199122,0.6864,1.0,0.918199122,0.6783,1.0,0.723340213,0.6864,1.0,1.0,1.0
207,1.0,1.0,0.951994717,0.6366,1.0,0.951994717,0.6732,1.0,0.798046649,0.6366,1.0,1.0,1.0
208,1.0,1.0,0.716081262,0.5082,1.0,0.716081262,0.5563,1.0,0.802406669,0.5082,1.0,1.0,1.0
209,1.0,1.0,0.918618083,0.3536,1.0,0.918618083,0.4041,1.0,0.833866239,0.3536,1.0,1.0,1.0
210,1.0,1.0,0.844124913,0.1506,1.0,0.844124913,0.2055,1.0,0.880895615,0.1506,1.0,1.0,1.0
211,1.0,1.0,0.91932255,0.0365,1.0,0.91932255,0.0597,1.0,0.886661351,0.0365,1.0,1.0,1.0
212,1.0,1.0,0.71794802,0.0,1.0,0.71794802,0.0,1.0,0.924427032,0.0,1.0,1.0,1.0
213,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.963136315,0.0,1.0,1.0,1.0
214,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.999079168,0.0,1.0,1.0,1.0
215,1.0,1.0,0.999719322,0.0,1.0,0.999719322,0.0,1.0,0.999988973,0.0,1.0,1.0,1.0
216,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.993228734,0.0,1.0,1.0,1.0
217,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.969367146,0.0,1.0,1.0,1.0
218,1.0,1.0,0.999401927,0.0,1.0,0.999401927,0.0,1.0,0.876194239,0.0,1.0,1.0,1.0
219,1.0,1.0,0.840446055,0.0,1.0,0.840446055,0.0,1.0,0.729236841,0.0,1.0,1.0,1.0
220,1.0,1.0,0.740907311,0.0,1.0,0.740907311,0.0,1.0,0.660441995,0.0,1.0,1.0,1.0
221,1.0,1.0,0.83974272,0.0,1.0,0.83974272,0.0,1.0,0.643812776,0.0,1.0,1.0,1.0
222,1.0,1.0,0.582625568,0.0,1.0,0.582625568,0.0,1.0,0.791162372,0.0,1.0,1.0,1.0
223,1.0,1.0,0.629124284,0.0781,1.0,0.629124284,0.0913,1.0,0.687852025,0.0781,1.0,1.0,1.0
224,1.0,1.0,0.49090004,0.2608,1.0,0.49090004,0.2631,1.0,0.517878771,0.2608,1.0,1.0,1.0
225,1.0,1.0,0.392080009,0.4544,1.0,0.392080009,0.4507,1.0,0.554159999,0.4544,1.0,1.0,1.0
