,Network_zones,CO_2_Cap_Zone_1,CO_2_Cap_Zone_2,CO_2_Cap_Zone_3,CO_2_Max_tons_MWh_1,CO_2_Max_tons_MWh_2,CO_2_Max_tons_MWh_3,CO_2_Max_Mtons_1,CO_2_Max_Mtons_2,CO_2_Max_Mtons_3
NENGREST,z1,1,0,0,0,0,0,8.59,0,0
NENG_CT,z2,0,1,0,0,0,0,0,2.31,0
NENG_ME,z3,0,0,1,0,0,0,0,0,1.29
