Time_Index,NENG_CT_NG,NENG_ME_NG,NENGREST_NG,west_north_central_coal,new_england_uranium,NENG_CT_NG_ccs90,NENG_ME_NG_ccs90,NENGREST_NG_ccs90,NENG_CT_NG_ccs100,NENG_ME_NG_ccs100,NENGREST_NG_ccs100,None
0,0.05306,0.05306,0.05306,0.09552,0.0,0.00531,0.00531,0.00531,0.0,0.0,0.0,0.0
1,505000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
2,506000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
3,507000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
4,508000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
5,509000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
6,510000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
7,511000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
8,512000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
9,513000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
10,514000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
11,515000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
12,516000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
13,517000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
14,518000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
15,519000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
16,520000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
17,521000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
18,522000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
19,523000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
20,524000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
21,525000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
22,526000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
23,527000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
24,528000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
25,529000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
26,530000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
27,531000.0,5450.0,5450.0,5280.0,1670.0,690.0,5450.0,5450.0,5280.0,4019.9999999999995,4019.9999999999995,3850.0
