region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MO,NGCC_bf,1,1,1,0.0,0.0,-5.329070518200751e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.329070518200751e-9,5.329070518200751e-9
MO,NGCC_gf,1,1,2,8.918274490108107e8,0.0,2.675482347032432e8,0.0,1.677791485324938e8,1.4697453411446455e9,0.0,1.3257008015265052e8,0.0,4.1961236e9,0.0,0.0,0.0,1.2666534241384363e9,0.0,4.196123648e9,4.19612367768228e9,-29.68228006362915
MO,NGCT_bf,1,1,3,0.0,0.0,-1.9539925233402755e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9539925233402755e-8,1.9539925233402755e-8
MO,NGCT_gf,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,NGST,1,1,5,0.0,0.0,1.166e7,0.0,1.0869269700433235e6,1.183663470377179e7,0.0,6.667146197319144e6,0.0,7.1750104e7,0.0,0.0,0.0,1.0376244075306203e7,0.0,7.1750104e7,4.1626951946440466e7,3.0123152053559534e7
MO,Coal,1,1,6,0.0,0.0,2.3341163871303415e8,0.0,5.960606193699919e6,2.4176218721646868e7,0.0,3.638210627119175e7,0.0,3.8221587e8,0.0,0.0,0.0,8.228530027529177e7,0.0,3.82215872e8,3.822158701748645e8,1.8251355290412903
MO,Nuclear,1,1,7,0.0,0.0,2.36e8,0.0,4.134720000000001e7,1.0137919968000002e8,0.0,0.0,0.0,9.660332e8,0.0,0.0,0.0,0.0,0.0,9.66033216e8,3.7872639968e8,5.873068163199999e8
MO,Biomass,1,1,8,0.0,0.0,2.0e6,0.0,456247.3720687276,1.209968030726265e6,0.0,71988.4285714286,0.0,5.8235055e6,0.0,0.0,0.0,2.8822735961358645e6,0.0,5.8235055e6,6.620477427502285e6,-796971.9275022848
MO,SolarPV,1,1,9,1.4322261302191556e9,0.0,3.982405917275432e8,0.0,0.0,0.0,0.0,0.0,0.0,1.8319067e9,0.0,0.0,0.0,0.0,0.0,1.831906688e9,1.8304667219466987e9,1.4399660533013344e6
MO,Wind,1,1,10,1.6145777553131497e9,0.0,1.3051851702087667e9,0.0,9.48095691130758e6,0.0,0.0,0.0,0.0,3.272444e9,0.0,0.0,0.0,0.0,0.0,3.272443904e9,2.929243882433224e9,3.432000215667758e8
MO,Hydro,1,1,11,0.0,0.0,8.64e6,0.0,176477.1088081134,0.0,0.0,0.0,0.0,1.23520584e8,0.0,0.0,0.0,0.0,0.0,1.23520584e8,8.816477108808113e6,1.1470410689119188e8
MO,PHS,1,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Li-ion,1,0,13,5.104497338111715e7,1.0109501504044957e8,1.2761243345279288e7,2.42628036097079e7,483439.8605376577,0.0,596839.3339971091,0.0,6.1388412e7,2.4833254e8,0.0,0.0,0.0,0.0,0.0,2.48332544e8,2.5163272657108864e8,-3.300182571088642e6
MO,Retro_NGCC_CCS,1,1,14,0.0,0.0,2.8240000000000006e8,0.0,3.4026697283780223e8,3.3947301656784678e9,0.0,1.0986909201410148e8,0.0,6.4568156e9,0.0,0.0,0.0,2.5635996588912416e8,0.0,6.456815616e9,4.383626196419496e9,2.0731894195805044e9
MO,Retro_NGCC_H2,1,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
