Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,unmet,Total
t181,594.462,0.0,0.0,0.0,0.0,594.462
t182,606.441,0.0,0.0,0.0,0.0,606.441
t183,613.5360000000001,0.0,0.0,0.0,0.0,613.5360000000001
t184,610.8960000000006,0.0,0.0,0.0,0.0,610.8960000000006
t185,608.4960000000003,0.0,0.0,0.0,0.0,608.4960000000003
t186,609.8960000000002,0.0,0.0,0.0,0.0,609.8960000000002
t187,602.514,0.0,0.0,0.0,0.0,602.514
t188,579.414,0.0,0.0,0.0,0.0,579.414
t189,566.907,0.0,0.0,0.0,0.0,566.907
t190,546.711,0.0,0.0,0.0,0.0,546.711
t191,493.15200000000004,0.0,0.0,0.0,0.0,493.15200000000004
t192,438.603,0.0,0.0,0.0,0.0,438.603
t193,398.904,0.0,0.0,0.0,0.0,398.904
t194,373.956,0.0,0.0,0.0,0.0,373.956
t195,358.05,0.0,0.0,0.0,0.0,358.05
t196,350.69100000000003,0.0,0.0,0.0,0.0,350.69100000000003
t197,352.869,0.0,0.0,0.0,0.0,352.869
t198,366.135,0.0,0.0,0.0,0.0,366.135
t199,409.761,0.0,0.0,0.0,0.0,409.761
t200,461.802,0.0,0.0,0.0,0.0,461.802
t201,498.696,0.0,0.0,0.0,0.0,498.696
t202,527.34,0.0,0.0,0.0,0.0,527.34
t203,552.255,0.0,0.0,0.0,0.0,552.255
t204,568.854,0.0,0.0,0.0,0.0,568.854
t205,580.734,0.0,0.0,0.0,0.0,580.734
t206,594.8910000000001,0.0,0.0,0.0,0.0,594.8910000000001
t207,605.946,0.0,0.0,0.0,0.0,605.946
t208,614.0640000000001,0.0,0.0,0.0,0.0,614.0640000000001
t209,619.3770000000001,0.0,0.0,0.0,0.0,619.3770000000001
t210,616.5060000000001,0.0,0.0,0.0,0.0,616.5060000000001
t211,601.359,0.0,0.0,0.0,0.0,601.359
t212,579.315,0.0,0.0,0.0,0.0,579.315
t213,569.9100000000001,0.0,0.0,0.0,0.0,569.9100000000001
t214,554.1030000000001,0.0,0.0,0.0,0.0,554.1030000000001
t215,502.12800000000004,0.0,0.0,0.0,0.0,502.12800000000004
t216,449.262,0.0,0.0,0.0,0.0,449.262
t217,410.28900000000004,0.0,0.0,0.0,0.0,410.28900000000004
t218,385.605,0.0,0.0,0.0,0.0,385.605
t219,370.623,0.0,0.0,0.0,0.0,370.623
t220,363.726,0.0,0.0,0.0,0.0,363.726
t221,366.63,0.0,0.0,0.0,0.0,366.63
t222,1778.4300600335246,0.0,0.0,0.0,0.0,1778.4300600335246
t223,897.5901614360428,0.0,0.0,0.0,0.0,897.5901614360428
t224,479.55600000000004,0.0,0.0,0.0,0.0,479.55600000000004
t225,1500.1075827453783,0.0,0.0,0.0,0.0,1500.1075827453783
t226,706.777,0.0,0.0,0.0,0.0,706.777
t227,580.47,0.0,0.0,0.0,0.0,580.47
t228,675.7370000000003,0.0,0.0,0.0,0.0,675.7370000000003
t229,618.849,0.0,0.0,0.0,0.0,618.849
t230,658.6170000000002,0.0,0.0,0.0,0.0,658.6170000000002
t231,654.5970000000002,0.0,0.0,0.0,0.0,654.5970000000002
t232,642.873,0.0,0.0,0.0,0.0,642.873
t233,648.417,0.0,0.0,0.0,0.0,648.417
t234,646.965,0.0,0.0,0.0,0.0,646.965
t235,631.0590000000001,0.0,0.0,0.0,0.0,631.0590000000001
t236,607.101,0.0,0.0,0.0,0.0,607.101
t237,595.3860000000001,0.0,0.0,0.0,0.0,595.3860000000001
t238,578.556,0.0,0.0,0.0,0.0,578.556
t239,525.4590000000001,0.0,0.0,0.0,0.0,525.4590000000001
t240,469.62300000000005,0.0,0.0,0.0,0.0,469.62300000000005
t241,428.934,0.0,0.0,0.0,0.0,428.934
t242,402.40200000000004,0.0,0.0,0.0,0.0,402.40200000000004
t243,384.648,0.0,0.0,0.0,0.0,384.648
t244,375.408,0.0,0.0,0.0,0.0,375.408
t245,377.355,0.0,0.0,0.0,0.0,377.355
