BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1157,34279.8766990721,0.0,-1559.006339072096,0.0,0.0,0.0,0.0,0.0,0.0,-35080.87036
t1158,33341.306907491875,0.0,-579.4720174918784,0.0,0.0,0.0,0.0,0.0,0.0,-35121.83489
t1159,34661.88836,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37021.88836
t1160,33135.301133188594,4171.139226811407,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39666.44036
t1161,39960.56145397047,0.0,-140.36413397047176,0.0,0.0,0.0,0.0,0.0,0.0,-42180.19732
t1162,47213.695697031275,0.0,-5009.190467031265,0.0,0.0,0.0,0.0,0.0,0.0,-44564.50523
t1163,44468.2131,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46828.2131
t1164,46540.79200999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48900.79201
t1165,48356.186369999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50716.18637
t1166,49678.47475,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52038.47475
t1167,50910.27303,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53270.27303
t1168,51595.73531,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53955.73531
t1169,51275.04791,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53635.04791
t1170,49612.349016762026,201.79156323796477,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52174.14058
t1171,42153.196323885466,6608.336116114533,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51121.53244
t1172,42257.45360729216,5243.169982707847,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49860.62359
t1173,43485.19007042503,876.030309574972,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46721.22038
t1174,40910.66375,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43270.66375
t1175,38126.93043,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40486.93043
t1176,36110.49983,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38470.49983
t1177,32224.303566165418,1857.2804649745588,-4751.055651139974,0.0,0.0,0.0,0.0,0.0,0.0,-31690.52838
t1178,36293.32707611454,0.0,-6608.336116114533,0.0,0.0,0.0,0.0,0.0,0.0,-32044.99096
t1179,23809.867183885468,6608.336116114533,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32778.2033
t1180,38677.66158611454,0.0,-6608.336116114533,0.0,0.0,0.0,0.0,0.0,0.0,-34429.32547
t1181,37248.85814441176,2263.628945851387,-4344.707170263146,0.0,0.0,0.0,0.0,0.0,0.0,-37527.77992
t1182,32946.639675219485,5932.755430447525,-675.5806856670077,0.0,0.0,0.0,0.0,0.0,0.0,-40563.81442
t1183,42445.54332807595,1282.3721640192875,-5325.963952095245,0.0,0.0,0.0,0.0,0.0,0.0,-40761.95154
t1184,31115.40798388547,6608.336116114533,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40083.7441
t1185,35504.09660083176,3967.115417641386,-2641.220698473146,0.0,0.0,0.0,0.0,0.0,0.0,-39189.99132
t1186,38265.55118458803,2139.3887657632486,-4468.947350351284,0.0,0.0,0.0,0.0,0.0,0.0,-38295.9926
t1187,40411.234801578874,771.2839172678334,-5837.052198846699,0.0,0.0,0.0,0.0,0.0,0.0,-37705.46652
t1188,41786.44578611453,0.0,-6608.336116114533,0.0,0.0,0.0,0.0,0.0,0.0,-37538.10967
t1189,29637.79184682664,5914.643374643947,-693.6927414705858,0.0,0.0,0.0,0.0,0.0,0.0,-37218.74248
t1190,41082.97335611453,0.0,-6608.336116114533,0.0,0.0,0.0,0.0,0.0,0.0,-36834.63724
t1191,35180.587381470585,2957.3216873219726,-3651.014428792559,0.0,0.0,0.0,0.0,0.0,0.0,-36846.89464
t1192,35129.09382147059,2957.3216873219726,-3651.014428792559,0.0,0.0,0.0,0.0,0.0,0.0,-36795.40108
t1193,35551.55836147058,2957.3216873219726,-3651.014428792559,0.0,0.0,0.0,0.0,0.0,0.0,-37217.86562
t1194,29909.81912388547,6608.336116114533,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38878.15524
t1195,34954.55273867411,4023.178343720213,-2585.1577723943196,0.0,0.0,0.0,0.0,0.0,0.0,-38752.57331
t1196,34651.30627213231,2294.0369875239962,-1676.1536096563032,0.0,0.0,0.0,0.0,0.0,0.0,-37629.18965
t1197,39279.760734760006,482.0280456772688,-6126.308070437264,0.0,0.0,0.0,0.0,0.0,0.0,-35995.48071
t1198,37977.72450286523,0.0,-6164.9478228652215,0.0,0.0,0.0,0.0,0.0,0.0,-34172.77668
t1199,30322.436146499145,89.03453350085412,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32771.47068
t1200,29577.46544,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31937.46544
t1201,29270.00685716155,0.0,-109.9191771615483,0.0,0.0,0.0,0.0,0.0,0.0,-31520.08768
t1202,28101.71452670488,998.5558832951233,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31460.27041
t1203,29583.83941,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31943.83941
t1204,30597.365443357845,186.21358664215526,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33143.57903
t1205,29527.452002364393,4217.244287635608,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36104.69629
t1206,38864.46266339624,0.0,-2554.7418833962324,0.0,0.0,0.0,0.0,0.0,0.0,-38669.72078
t1207,32065.753307146424,4686.439512853574,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39112.19282
t1208,31555.646023240213,4910.215626759787,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38825.86165
t1209,42396.02439611454,0.0,-6608.336116114533,0.0,0.0,0.0,0.0,0.0,0.0,-38147.68828
t1210,37031.97065879246,2390.1783236610404,-4218.157792453493,0.0,0.0,0.0,0.0,0.0,0.0,-37563.99119
t1211,41312.45611611453,0.0,-6608.336116114533,0.0,0.0,0.0,0.0,0.0,0.0,-37064.12
t1212,34400.43524101105,3402.4347675517424,-3205.90134856279,0.0,0.0,0.0,0.0,0.0,0.0,-36956.96866
t1213,37256.34958022125,1850.720222946638,-4757.615893167895,0.0,0.0,0.0,0.0,0.0,0.0,-36709.45391
t1214,34833.57654147059,2957.3216873219726,-3651.014428792559,0.0,0.0,0.0,0.0,0.0,0.0,-36499.8838
t1215,34176.75023,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36536.75023
t1216,34160.18649,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36520.18649
t1217,32769.547734791784,1598.591105208214,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36728.13884
t1218,35532.33360741916,497.944222580843,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38390.27783
