Period_Index,Rep_Period,Rep_Period_Index
1,4,1
2,4,1
3,4,1
4,4,1
5,7,2
6,7,2
7,7,2
8,7,2
9,7,2
10,12,3
11,12,3
12,12,3
13,12,3
14,17,4
15,17,4
16,17,4
17,17,4
18,20,5
19,20,5
20,20,5
21,23,6
22,23,6
23,23,6
24,20,5
25,28,7
26,28,7
27,28,7
28,28,7
29,30,8
30,30,8
31,28,7
32,28,7
33,30,8
34,34,9
35,30,8
36,34,9
37,23,6
38,20,5
39,20,5
40,23,6
41,20,5
42,20,5
43,20,5
44,17,4
45,48,10
46,48,10
47,48,10
48,48,10
49,49,11
50,49,11
51,49,11
52,49,11
